School Name,Reading,Math,Writing,Total,Address,lat,lng
THE BRONXWOOD PREPARATORY ACADEMY,377,372,363,1112,"921 E 228th St, Bronx, NY 10466, USA",40.8880709,-73.8527006
GLOBAL ENTERPRISE HIGH SCHOOL,372,382,375,1129,"925 Astor Ave, Bronx, NY 10469",40.86080273,-73.86022117
PELHAM PREPARATORY ACADEMY,431,438,419,1288,"925 Astor Ave, Bronx, NY 10469, USA",40.8603116,-73.8602433
HIGH SCHOOL FOR CONTEMPORARY ARTS,383,378,365,1126,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8751267,-73.8617246
BRONX AEROSPACE HIGH SCHOOL,388,393,382,1163,"800 E Gun Hill Rd, Bronx, NY 10467, USA",40.8755654,-73.8614327
NEW DAY ACADEMY,348,344,354,1046,"800 Home St, Bronx, NY 10456, USA",40.8271204,-73.9008891
"METROPOLITAN HIGH SCHOOL, THE",347,367,341,1055,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",40.827733,-73.897018
EXPLORATIONS ACADEMY,381,381,360,1122,"1701 Ellis St STE 215, Bellingham, WA 98225, USA",48.7526416,-122.4723572
PERFORMANCE CONSERVATORY HIGH SCHOOL,361,353,360,1074,"1619 Boston Road, Bronx, NY, 10460",40.83624353,-73.89058156
BRONX LATIN,408,432,411,1251,"800 Home St, Bronx, NY 10456, USA",40.8277047,-73.9006169
EAST BRONX ACADEMY FOR THE FUTURE,366,378,358,1102,"1716 Southern Blvd, Bronx, NY 10460, USA",40.8368092,-73.8876647
PEACE AND DIVERSITY ACADEMY,390,401,364,1155,"1180 Rev James A Polite Ave, Bronx, NY 10459, USA",40.827719,-73.8970008
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,321,351,298,970,"1300 Boynton Ave, Bronx, NY 10472, USA",40.8324657,-73.8788377
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,380,372,349,1101,"1010 Rev James A Polite Ave, Bronx, NY 10459, USA",40.8232858,-73.8987342
BRONX REGIONAL HIGH SCHOOL,398,385,398,1181,"1010 Rev James A Polite Ave, Bronx, NY 10459, USA",40.8233177,-73.8987455
HIGH SCHOOL OF WORLD CULTURES,304,323,312,939,"1300 Boynton Ave Floor 4, Bronx, NY 10472, USA",40.8325896,-73.8784878
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,342,346,341,1029,"1021 Jennings St, Bronx, NY 10460, USA",40.8311242,-73.8856884
WINGS ACADEMY,378,374,362,1114,"1122 E 180th St, Bronx, NY 10460, USA",40.8416155,-73.8752132
MONROE ACADEMY FOR BUSINESS/LAW,375,387,376,1138,"1300 Boynton Ave, Bronx, NY 10472, USA",40.8320451,-73.8783844
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,332,357,349,1038,"1300 Boynton Ave, Bronx, NY 10472, USA",40.83276004,-73.87844489
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,352,349,373,1074,"101 Park Ave, Brooklyn, NY 11205, USA",40.6969046,-73.9759851
ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,439,374,418,1231,141 Macon Street Brooklyn NY 11216,40.68223008,-73.94519423
URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,360,364,356,1080,"90 Broad St #2101, New York, NY 10004, USA",40.7037913,-74.0117965
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",375,355,384,1114,"Brooklyn, NY, USA",40.6781784,-73.9441579
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",399,417,395,1211,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973489,-73.9847476
BROOKLYN TECHNICAL HIGH SCHOOL,587,659,587,1833,"29 Fort Greene Pl, Brooklyn, NY 11217, USA",40.6890878,-73.9767351
BROOKLYN INTERNATIONAL HIGH SCHOOL,305,364,312,981,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973902,-73.9848191
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,400,417,389,1206,"283 Adams St, Brooklyn, NY 11201, USA",40.6944935,-73.9885235
ACORN COMMUNITY HIGH SCHOOL,384,364,368,1116,"561 Grand Ave, Brooklyn, NY 11238, USA",40.6785204,-73.9617427
FREEDOM ACADEMY HIGH SCHOOL,400,390,403,1193,"116 Nassau St, Brooklyn, NY 11201, USA",40.6984181,-73.9865245
BROOKLYN ACADEMY HIGH SCHOOL,435,383,379,1197,"832 Marcy Ave, Brooklyn, NY 11216, USA",40.6844957,-73.9479614
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,398,391,394,1183,"832 Marcy Ave, Brooklyn, NY 11216, USA",40.6846109,-73.9478897
BEDFORD ACADEMY HIGH SCHOOL,438,443,431,1312,"1119 Bedford Ave, Brooklyn, NY 11216, USA",40.6855293,-73.9540295
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,406,391,392,1189,"105 Tech Pl, Brooklyn, NY 11201, USA",40.6958065,-73.9855988
BENJAMIN BANNEKER ACADEMY,471,472,448,1391,"71-77 Clinton Ave, Brooklyn, NY 11205, USA",40.6954741,-73.9690605
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",441,499,413,1353,"105 Tech Pl, Brooklyn, NY 11201, USA",40.6958633,-73.9856825
JUAN MOREL CAMPOS SECONDARY SCHOOL,365,361,359,1085,"215 Heyward St, Brooklyn, NY 11206, USA",40.70382,-73.9535677
ACADEMY FOR YOUNG WRITERS,387,357,381,1125,"1065 Elton St, Brooklyn, NY 11239, USA",40.6573832,-73.8742165
"BROOKLYN LATIN SCHOOL, THE",586,584,570,1740,"223 Graham Ave, Brooklyn, NY 11206, USA",40.7097531,-73.944378
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,407,386,396,1189,"223 Graham Ave #337b, Brooklyn, NY 11206, USA",40.7097423,-73.9445006
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,364,379,371,1114,"850 Grand St, Brooklyn, NY 11211, USA",40.71175,-73.939476
SCHOOL FOR LEGAL STUDIES,413,396,395,1204,"850 Grand St Brooklyn, NY 11211",40.71209739,-73.94003381
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",398,421,396,1215,"850 Grand St, Brooklyn, NY 11211, USA",40.7119127,-73.9404248
BROOKLYN PREPARATORY HIGH SCHOOL,367,373,350,1090,"257 N 6th St, Brooklyn, NY 11211, USA",40.7158347,-73.955412
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,363,385,364,1112,"257 N 6th St, Brooklyn, NY 11211, USA",40.7158507,-73.9553949
WILLIAMSBURG PREPARATORY SCHOOL,397,410,380,1187,"257 N 6th St, Brooklyn, NY 11211, USA",40.7157713,-73.9552387
LYONS COMMUNITY SCHOOL,371,377,355,1103,"223 Graham Ave, Brooklyn, NY 11206, USA",40.709729,-73.9443861
AUTOMOTIVE HIGH SCHOOL,367,376,350,1093,"50 Bedford Ave, Brooklyn, NY 11222, USA",40.7224451,-73.9532235
FRANCES PERKINS ACADEMY,382,372,368,1122,"50 Bedford Ave, Brooklyn, NY 11222, USA",40.7222353,-73.9532939
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,359,335,341,1035,"250 Hooper St, Brooklyn, NY 11211, USA",40.7057154,-73.9556113
BROOKLYN SCHOOL FOR GLOBAL STUDIES,361,367,383,1111,"284 Baltic St, Brooklyn, NY 11201, USA",40.6851261,-73.9943356
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,393,399,387,1179,"Brooklyn, NY, USA",40.6781784,-73.9441579
SECONDARY SCHOOL FOR LAW,398,411,394,1203,"237 7th Ave, Brooklyn, NY 11215, USA",40.6695477,-73.9785277
SECONDARY SCHOOL FOR JOURNALISM,397,391,381,1169,"237 7th Ave, Brooklyn, NY 11215, USA",40.6695477,-73.9785277
PARK SLOPE COLLEGIATE,379,416,380,1175,"237 7th Ave #3405, Brooklyn, NY 11215, USA",40.6695576,-73.9790898
SCHOOL FOR INTERNATIONAL STUDIES,405,415,392,1212,"284 Baltic St, Brooklyn, NY 11201, USA",40.684855,-73.9929074
COBBLE HILL SCHOOL OF AMERICAN STUDIES,398,402,385,1185,"347 Baltic St, Brooklyn, NY 11201, USA",40.6851042,-73.9907247
PACIFIC HIGH SCHOOL,352,341,300,993,"1020 Pacific St, San Bernardino, CA 92404, USA",34.12911,-117.2636284
METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,368,365,368,1101,"362 Schermerhorn St, Brooklyn, NY 11217, USA",40.6863861,-73.9797253
BROOKLYN HIGH SCHOOL OF THE ARTS,426,421,411,1258,"345 Dean St, Brooklyn, NY 11217, USA",40.6838422,-73.9803587
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,430,416,425,1271,"173 Conover St, Brooklyn, NY 11231, USA",40.6777746,-74.0141529
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,355,355,358,1068,125 Stuyvesant Avenue,40.69172573,-73.93326373
BOYS AND GIRLS HIGH SCHOOL,365,370,362,1097,"1700 Fulton St, Brooklyn, NY 11213, USA",40.6788731,-73.9315586
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,362,372,358,1092,"1396 Broadway, Brooklyn, NY 11221, USA",40.6884532,-73.9207644
GOTHAM PROFESSIONAL ARTS ACADEMY,370,372,351,1093,"561 Grand Ave, Brooklyn, NY 11238, USA",40.6785545,-73.961943
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,396,374,369,1139,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.6493035,-73.957749
ACADEMY OF HOSPITALITY AND TOURISM,352,342,351,1045,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.6495659,-73.9581999
W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,394,364,334,1092,"1150 E New York Ave, Brooklyn, NY 11212, USA",40.6662946,-73.9239496
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,287,335,291,913,"883 Classon Ave, Brooklyn, NY 11225, USA",40.6699636,-73.9615536
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,403,385,388,1176,"883 Classon Ave, Brooklyn, NY 11225, USA",40.6699561,-73.9611201
"SCHOOL FOR HUMAN RIGHTS, THE",348,381,359,1088,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6594626,-73.9431943
SCHOOL FOR DEMOCRACY AND LEADERSHIP,377,404,372,1153,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6590114,-73.9438681
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,338,349,340,1027,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.6493035,-73.957749
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,362,375,368,1105,"911 Flatbush Ave, Brooklyn, NY 11226",40.65213935,-73.95760252
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",457,462,441,1360,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.649411,-73.9571945
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,418,441,414,1273,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6593652,-73.9431462
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,388,382,373,1143,"883 Classon Ave, Brooklyn, NY 11225, USA",40.6700407,-73.9610286
BROOKLYN SCHOOL FOR MUSIC & THEATRE,385,393,373,1151,"883 Classon Ave, Brooklyn, NY 11225",40.67069372,-73.96137109
BROWNSVILLE ACADEMY HIGH SCHOOL,372,356,335,1063,"883 Classon Ave, Brooklyn, NY 11225",40.66688511,-73.9239848
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,476,481,479,1436,"1186 Carroll St, Brooklyn, NY 11225, USA",40.6667613,-73.951213
CLARA BARTON HIGH SCHOOL,425,413,413,1251,"901 Classon Ave, Brooklyn, NY 11225, USA",40.6694253,-73.9617791
IT TAKES A VILLAGE ACADEMY,313,320,330,963,"5800 Tilden Ave, Brooklyn, NY 11203",40.64830866,-73.9229779
BROOKLYN GENERATION SCHOOL,374,377,394,1145,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.633175,-73.9171154
BROOKLYN THEATRE ARTS HIGH SCHOOL,383,358,377,1118,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6330818,-73.9175331
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,368,378,346,1092,"5800 Tilden Ave, Brooklyn, NY 11203, USA",40.6484092,-73.9223137
VICTORY COLLEGIATE HIGH SCHOOL,387,377,379,1143,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6335601,-73.9173831
BROOKLYN BRIDGE ACADEMY,384,362,351,1097,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6334402,-73.9173518
ARTS & MEDIA PREPARATORY ACADEMY,361,360,359,1080,"5800 Tilden Ave, Brooklyn, NY 11203",40.64819787,-73.9229779
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,404,393,386,1183,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.6405565,-73.8979655
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,393,395,381,1169,"5800 Tilden Ave, Brooklyn, NY 11203, USA",40.6480444,-73.9222286
HIGH SCHOOL FOR MEDICAL PROFESSIONS,386,380,393,1159,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.6407472,-73.8979168
OLYMPUS ACADEMY,400,370,370,1140,"755 East 100th Street, Brooklyn, NY 11236, USA",40.6458812,-73.8985868
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,363,381,367,1111,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6331524,-73.9171504
URBAN ACTION ACADEMY,376,385,374,1135,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.640423,-73.8984517
EAST BROOKLYN COMMUNITY HIGH SCHOOL,410,403,378,1191,"9517 Kings Hwy, Brooklyn, NY 11212, USA",40.6597946,-73.9206428
EAST NEW YORK FAMILY ACADEMY,416,432,394,1242,"760 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6610052,-73.8863262
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,341,349,333,1023,"400 Granville Payne Ave, Brooklyn, NY 11207",40.67077247,-73.89223694
HIGH SCHOOL FOR CIVIL RIGHTS,363,349,342,1054,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.666817,-73.8947902
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,380,386,383,1149,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6668454,-73.8952889
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,371,365,370,1106,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6668454,-73.8952889
MULTICULTURAL HIGH SCHOOL,279,322,286,887,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6930052,-73.8690682
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,395,418,380,1193,"1 Wells St, Brooklyn, NY 11208, USA",40.6788665,-73.8753066
ACADEMY OF INNOVATIVE TECHNOLOGY,371,371,354,1096,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6928503,-73.8689912
BROOKLYN LAB SCHOOL,360,385,363,1108,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6928503,-73.8689912
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,376,385,368,1129,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6930052,-73.8690682
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,370,369,363,1102,"145 Pennsylvania Ave, Brooklyn, NY 11207, USA",40.6738562,-73.8961578
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",383,400,374,1157,"370 Fountain Ave, Brooklyn, NY 11208",40.67458408,-73.87586591
NEW UTRECHT HIGH SCHOOL,402,471,399,1272,"1601 80th St, Brooklyn, NY 11214, USA",40.6132217,-74.0031024
HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,425,474,424,1323,"350 67th St, Brooklyn, NY 11220, USA",40.6368194,-74.0234028
FORT HAMILTON HIGH SCHOOL,417,478,411,1306,"8301 Shore Rd, Brooklyn, NY 11209, USA",40.6269932,-74.0401285
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,383,486,375,1244,"5800 20th Ave, Brooklyn, NY 11204, USA",40.6212759,-73.9825528
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,326,386,314,1026,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5936235,-73.9861442
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,402,427,408,1237,"521 West Ave, Brooklyn, NY 11224, USA",40.5827434,-73.9722114
HIGH SCHOOL OF SPORTS MANAGEMENT,388,398,378,1164,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5935726,-73.985987
ABRAHAM LINCOLN HIGH SCHOOL,396,437,393,1226,"2800 Ocean Pkwy, Brooklyn, NY 11235",40.58300696,-73.96653276
EDWARD R. MURROW HIGH SCHOOL,468,496,467,1431,"1600 Avenue L, Brooklyn, NY 11230, USA",40.6198508,-73.9591523
JOHN DEWEY HIGH SCHOOL,404,468,390,1262,"50 Avenue X, Brooklyn, NY 11223, USA",40.5873209,-73.9824892
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,384,375,365,1124,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5937576,-73.9863546
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,353,370,356,1079,"2630 Benson Ave, Brooklyn, NY 11214",40.5937576,-73.9863546
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,414,376,1184,"25 Brighton 4th Rd, Brooklyn, NY 11235",40.58294019,-73.96161305
BROOKLYN STUDIO SECONDARY SCHOOL,429,449,435,1313,"8310 21st Ave, Brooklyn, NY 11214, USA",40.6047834,-73.9949764
LIBERATION DIPLOMA PLUS,411,369,373,1153,"2865 W 19th St, Brooklyn, NY 11224, USA",40.5771269,-73.985817
MIDWOOD HIGH SCHOOL,478,519,476,1473,"2839 Bedford Ave, Brooklyn, NY 11210, USA",40.632833,-73.9523773
JAMES MADISON HIGH SCHOOL,436,475,439,1350,"3787 Bedford Ave, Brooklyn, NY 11229",40.61006008,-73.94637393
SHEEPSHEAD BAY HIGH SCHOOL,383,392,370,1145,"3000 Avenue X, Brooklyn, NY 11235, USA",40.5937234,-73.936978
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,524,561,542,1627,"1830 Shore Blvd, Brooklyn, NY 11235, USA",40.5804143,-73.9351779
BROOKLYN COLLEGE ACADEMY,456,456,440,1352,"350 Coney Island Ave, Brooklyn, NY 11218, USA",40.6492022,-73.9718961
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,389,409,387,1185,"2021 Bergen St, Brooklyn, NY 11233, USA",40.6744709,-73.9133811
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,361,371,359,1091,"226 Bristol St, Brooklyn, NY 11212, USA",40.6655301,-73.9120609
BROOKLYN DEMOCRACY ACADEMY,349,338,331,1018,"985 Rockaway Ave 2nd Floor, Brooklyn, NY 11212, USA",40.6556945,-73.9064491
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,311,371,311,993,"1150 E New York Ave, Brooklyn, NY 11212, USA",40.6662946,-73.9239496
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,350,346,332,1028,"985 Rockaway Ave, Brooklyn, NY 11212",40.65578107,-73.90625388
TEACHERS PREPARATORY HIGH SCHOOL,392,416,388,1196,"226 Bristol St, Brooklyn, NY 11212, USA",40.6655437,-73.9119228
ACADEMY OF FINANCE AND ENTERPRISE,405,454,421,1280,"30-20 Thomson Ave, Queens, NY 11101, USA",40.7448591,-73.9369449
HIGH SCHOOL OF APPLIED COMMUNICATION,406,413,400,1219,"30-20 Thomson Ave, Queens, NY 11101, USA",40.7445959,-73.9369263
CIVIC LEADERSHIP ACADEMY,404,429,407,1240,"45-10 94th St, Queens, NY 11373, USA",40.7434324,-73.8714707
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,317,323,311,951,"45-10 94th St, Flushing, NY 11373, USA",40.743632,-73.8708888
BARD HIGH SCHOOL EARLY COLLEGE II,545,568,550,1663,"525 E Houston St, New York, NY 10002, USA",40.7184646,-73.9758571
NEWTOWN HIGH SCHOOL,383,440,380,1203,"48-01 90th St, Queens, NY 11373, USA",40.7411032,-73.8739663
GROVER CLEVELAND HIGH SCHOOL,395,420,396,1211,"21-27 Himrod St, Queens, NY 11385, USA",40.7115388,-73.9090225
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,399,393,385,1177,"45-35 Van Dam St, Queens, NY 11101, USA",40.7433295,-73.9333269
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,326,409,329,1064,"45-35 Van Dam St, Queens, NY 11101, USA",40.7439998,-73.9350125
HIGH SCHOOL FOR ARTS AND BUSINESS,391,403,380,1174,"105-25 Horace Harding Expy, Queens, NY 11368, USA",40.737637,-73.853408
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",443,447,440,1330,"47-07 30th Pl, Queens, NY 11101, USA",40.742216,-73.936443
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,417,447,406,1270,"37-02 47th Ave, Long Island City, NY 11101, USA",40.741945,-73.9279999
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,445,496,423,1364,"141 Federal Cir bldg #141, Jamaica, NY 11430",40.65878197,-73.80939342
"QUEENS SCHOOL OF INQUIRY, THE",455,498,443,1396,"158-40 76th Rd, Queens, NY 11366, USA",40.7241505,-73.8093686
FLUSHING INTERNATIONAL HIGH SCHOOL,314,417,318,1049,"144-80 Barclay Ave, Queens, NY 11355, USA",40.7600404,-73.8180648
EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,416,463,392,1271,"46-21 Colden St, Queens, NY 11355, USA",40.7492327,-73.8214862
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,471,489,481,1441,"34-65 192nd St, Queens, NY 11358, USA",40.7653711,-73.7894813
JOHN BOWNE HIGH SCHOOL,397,451,395,1243,"63-25 Main St, Queens, NY 11367, USA",40.7385387,-73.8239843
FLUSHING HIGH SCHOOL,393,441,382,1216,"35-01 Union St, Queens, NY 11354, USA",40.7648631,-73.8263921
TOWNSEND HARRIS HIGH SCHOOL,621,651,638,1910,"149-11 Melbourne Ave, Queens, NY 11367, USA",40.7350157,-73.8212993
QUEENS ACADEMY HIGH SCHOOL,398,382,388,1168,"138-11 35th Ave, Queens, NY 11354, USA",40.7656136,-73.8283306
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,431,458,441,1330,"75-40 Parsons Blvd, Queens, NY 11366, USA",40.7253501,-73.8113253
NORTH QUEENS COMMUNITY HIGH SCHOOL,379,421,377,1177,"141-25 77th Rd, Queens, NY 11367, USA",40.7205757,-73.8195993
BENJAMIN N. CARDOZO HIGH SCHOOL,480,545,489,1514,"57-00 223rd St, Queens, NY 11364, USA",40.7517895,-73.756443
FRANCIS LEWIS HIGH SCHOOL,468,539,467,1474,"58-20 Utopia Pkwy, Queens, NY 11365, USA",40.7409708,-73.7943206
MARTIN VAN BUREN HIGH SCHOOL,391,397,384,1172,"230-17 Hillside Ave., Queens, NY 11427, USA",40.7336309,-73.7391435
BAYSIDE HIGH SCHOOL,462,523,464,1449,"32-24 Corporal Kennedy St, Queens, NY 11361, USA",40.771482,-73.7808071
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",425,434,420,1279,"74-20 Commonwealth Blvd, Queens, NY 11426, USA",40.744121,-73.728799
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,387,385,373,1145,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",40.601532,-73.763979
CHANNEL VIEW SCHOOL FOR RESEARCH,432,419,401,1252,"100-00 Beach Channel Dr, Queens, NY 11694, USA",40.5863205,-73.8238186
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",391,401,364,1156,"8-21 Bay 25th St, Queens, NY 11691, USA",40.601532,-73.763979
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,423,426,416,1265,"138-30 Lafayette St, Queens, NY 11417, USA",40.671035,-73.8456739
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,367,379,348,1094,"8-21 Bay 25th St, Queens, NY 11691",40.60175142,-73.76343676
SCHOLARS,499,537,496,1532,"320 Beach 104th St, Queens, NY 11694",40.59022821,-73.80270402
AUGUST MARTIN HIGH SCHOOL,377,371,360,1108,"156-10 Baisley Blvd, Queens, NY 11434, USA",40.674757,-73.7832507
BEACH CHANNEL HIGH SCHOOL,384,396,354,1134,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",40.586373,-73.8226608
RICHMOND HILL HIGH SCHOOL,382,404,368,1154,"1 Wildcat Dr, Richmond Hill, GA 31324, USA",31.9256491,-81.3162599
JOHN ADAMS HIGH SCHOOL,391,409,392,1192,"101-01 Rockaway Boulevard Ozone Park Queens, 103-15 Rockaway Blvd, Jamaica, NY 11417",40.67925513,-73.83676546
"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",429,491,425,1345,"94-06 104th St, Ozone Park, NY 11416, USA",40.6892334,-73.8412058
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,420,445,400,1265,"167-01 Gothic Dr, Queens, NY 11432, USA",40.7144332,-73.7982524
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,403,408,367,1178,"162-02 Hillside Ave., Jamaica, NY 11432, USA",40.7082557,-73.7995851
JAMAICA GATEWAY TO THE SCIENCES,430,452,425,1307,"167-01 Gothic Dr, Queens, NY 11432, USA",40.7144332,-73.7982524
FOREST HILLS HIGH SCHOOL,456,497,454,1407,"67-01 110th St, Queens, NY 11375, USA",40.7297115,-73.8449259
JAMAICA HIGH SCHOOL,342,368,353,1063,"167-01 Gothic Dr, Jamaica, NY 11432, USA",40.7144332,-73.7982524
HILLCREST HIGH SCHOOL,395,413,386,1194,"160-05 Highland Ave, Queens, NY 11432, USA",40.7093971,-73.8023275
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,452,478,442,1372,"165-65 84th Ave, Queens, NY 11432, USA",40.7162714,-73.7983076
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,513,523,502,1538,"160-20 Goethals Ave, Queens, NY 11432",40.71860854,-73.80525877
QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,612,660,596,1868,"94-50 159th St, Jamaica, NY 11451, USA",40.7009286,-73.7983153
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406,406,384,1196,"116-25 Guy R Brewer Blvd, Queens, NY 11434, USA",40.6860509,-73.7835331
YOUNG WOMEN,439,445,432,1316,"150-91 87th Rd, Queens, NY 11432",40.70860985,-73.80351181
QUEENS PREPARATORY ACADEMY,360,380,359,1099,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.6676524,-73.7574605
