School Name,Reading,Math,Writing,Total,Address,lat,lng
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,473,506,467,1446,"122 Amsterdam Ave, New York, NY 10023, USA",40.7745619,-73.985282
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,356,379,361,1096,"215 W 114th St, New York, NY 10026, USA",40.8025691,-73.9541214
COALITION SCHOOL FOR SOCIAL CHANGE,354,357,373,1084,"2351 1st Ave., New York, NY 10035, USA",40.7992106,-73.9334681
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,461,514,455,1430,"260 Pleasant Ave, New York, NY 10029, USA",40.7943018,-73.9334062
PARK EAST HIGH SCHOOL,373,379,376,1128,"230 E 105th St, New York, NY 10029, USA",40.7902049,-73.9441678
CENTRAL PARK EAST HIGH SCHOOL,405,421,395,1221,"1573 Madison Ave, New York, NY 10029, USA",40.7936899,-73.9491583
YOUNG WOMEN'S LEADERSHIP SCHOOL,432,446,448,1326,"140 West 102 Street, Manhattan, NY 10025",40.7975845,-73.9666715
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,369,369,357,1095,"410 E 100th St, New York, NY 10029, USA",40.7851693,-73.9422154
"HERITAGE SCHOOL, THE",358,351,345,1054,"1680 Lexington Ave, New York, NY 10029, USA",40.791964,-73.946878
HARLEM RENAISSANCE HIGH SCHOOL,357,318,333,1008,"22 E 128th St, New York, NY 10035, USA",40.807763,-73.939957
MOTT HALL HIGH SCHOOL,413,399,398,1210,"6 Edgecombe Ave 4th floor, New York, NY 10030, USA",40.817349,-73.94745
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,354,366,342,1062,"3441 Steenwick Ave, Bronx, NY 10475, USA",40.8832047,-73.8306959
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,360,353,364,1077,"509 W 129th St, New York, NY 10027, USA",40.815709,-73.9556642
CHOIR ACADEMY OF HARLEM,354,360,385,1099,"2005 Madison Ave, New York, NY 10035, USA",40.8070626,-73.9388293
FREDERICK DOUGLASS ACADEMY,458,474,442,1374,"2581 Adam Clayton Powell Jr Blvd, New York, NY 10039, USA",40.8242911,-73.9366898
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,396,402,404,1202,"200-214 W 135th St, New York, NY 10030, USA",40.8152484,-73.9443203
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",605,654,588,1847,"240 Convent Ave, New York, NY 10031, USA",40.8214739,-73.9490389
CITY COLLEGE ACADEMY OF THE ARTS,408,446,416,1270,"4600 Broadway, New York, NY 10040, USA",40.8608456,-73.9301494
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,362,376,367,1105,"504 W 158th St, New York, NY 10032, USA",40.8336116,-73.9421984
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,380,395,399,1174,"511 W 182nd St, New York, NY 10033, USA",40.8491088,-73.9310992
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,365,384,378,1127,"549 Audubon Ave, New York, NY 10040",40.85592181,-73.92628009
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,369,380,349,1098,"549 Audubon Ave, New York, NY 10040, USA",40.8561208,-73.9263326
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,363,378,361,1102,"549 Audubon Ave, New York, NY 10040, USA",40.8558937,-73.9260333
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,400,422,402,1224,"549 Audubon Ave, New York, NY 10040, USA",40.8558937,-73.9260333
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,430,456,423,1309,"443 W 135th St, New York, NY 10031, USA",40.8183585,-73.9499696
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,339,349,326,1014,"501 W 165th St, New York, NY 10032, USA",40.8382264,-73.9385356
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,364,378,348,1090,"Bronx, NY, USA",40.8447819,-73.8648268
CROTONA ACADEMY HIGH SCHOOL,379,364,382,1125,"1211 Southern Blvd, Bronx, NY 10459, USA",40.8293132,-73.8920937
INTERNATIONAL COMMUNITY HIGH SCHOOL,310,324,311,945,"345 Brook Ave, Bronx, NY 10454, USA",40.8099176,-73.9183515
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,361,359,357,1077,"350 Gerard Ave, Bronx, NY 10451, USA",40.8156741,-73.9301357
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,351,375,371,1097,"701 St Ann's Ave, Bronx, NY 10455, USA",40.8182782,-73.9117284
UNIVERSITY HEIGHTS SECONDARY SCHOOL,403,394,404,1201,"701 St Ann's Ave, Bronx, NY 10455, USA",40.8182061,-73.9113093
HOSTOSsLINCOLN ACADEMY OF SCIENCE,420,426,411,1257,"600 St Ann's Ave, Bronx, NY 10455, USA",40.814537,-73.9124247
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,399,396,391,1186,"470 Jackson Ave #116, Bronx, NY 10455, USA",40.810911,-73.9092839
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,362,378,363,1103,"730 Concourse Village W, Bronx, NY 10451, USA",40.8223498,-73.9227204
NEW EXPLORERS HIGH SCHOOL,367,356,361,1084,"730 Concourse Village W, Bronx, NY 10451, USA",40.8225734,-73.9235453
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,387,411,383,1181,"730 Concourse Village W, Bronx, NY 10451, USA",40.8225735,-73.9235453
BRONX ACADEMY OF LETTERS,413,381,407,1201,"339 Morris Ave, Bronx, NY 10451, USA",40.81366,-73.925999
