School Name,Reading,Math,Writing,Address,lat,lng
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,321,351,298,"1300 Boynton Ave, Bronx, NY 10472, USA",40.83246570000001,-73.87883769999999
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,380,372,349,"1010 Rev James A Polite Ave, Bronx, NY 10459, USA",40.8232858,-73.89873419999999
BRONX REGIONAL HIGH SCHOOL,398,385,398,"1010 Rev James A Polite Ave, Bronx, NY 10459, USA",40.8233177,-73.8987455
HIGH SCHOOL OF WORLD CULTURES,304,323,312,"1300 Boynton Ave Floor 4, Bronx, NY 10472, USA",40.8325896,-73.8784878
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,342,346,341,"1021 Jennings St, Bronx, NY 10460, USA",40.8311242,-73.88568839999999
WINGS ACADEMY,378,374,362,"1122 E 180th St, Bronx, NY 10460, USA",40.8416155,-73.87521319999999
MONROE ACADEMY FOR BUSINESS/LAW,375,387,376,"1300 Boynton Ave, Bronx, NY 10472, USA",40.83204509999999,-73.8783844
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,332,357,349,None,None,None
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,352,349,373,"101 Park Ave, Brooklyn, NY 11205, USA",40.6969046,-73.9759851
ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,439,374,418,None,None,None
URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,360,364,356,"90 Broad St #2101, New York, NY 10004, USA",40.7037913,-74.0117965
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",375,355,384,"Brooklyn, NY, USA",40.6781784,-73.9441579
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",399,417,395,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973489,-73.98474759999999
BROOKLYN TECHNICAL HIGH SCHOOL,587,659,587,"29 Fort Greene Pl, Brooklyn, NY 11217, USA",40.6890878,-73.9767351
BROOKLYN INTERNATIONAL HIGH SCHOOL,305,364,312,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973902,-73.9848191
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,400,417,389,"283 Adams St, Brooklyn, NY 11201, USA",40.6944935,-73.9885235
ACORN COMMUNITY HIGH SCHOOL,384,364,368,"561 Grand Ave, Brooklyn, NY 11238, USA",40.6785204,-73.9617427
FREEDOM ACADEMY HIGH SCHOOL,400,390,403,"116 Nassau St, Brooklyn, NY 11201, USA",40.6984181,-73.9865245
BROOKLYN ACADEMY HIGH SCHOOL,435,383,379,"832 Marcy Ave, Brooklyn, NY 11216, USA",40.6844957,-73.9479614
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,398,391,394,"832 Marcy Ave, Brooklyn, NY 11216, USA",40.6846109,-73.94788969999999
BEDFORD ACADEMY HIGH SCHOOL,438,443,431,"1119 Bedford Ave, Brooklyn, NY 11216, USA",40.6855293,-73.9540295
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,406,391,392,"105 Tech Pl, Brooklyn, NY 11201, USA",40.6958065,-73.98559879999999
BENJAMIN BANNEKER ACADEMY,471,472,448,"71-77 Clinton Ave, Brooklyn, NY 11205, USA",40.69547410000001,-73.9690605
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",441,499,413,"105 Tech Pl, Brooklyn, NY 11201, USA",40.69586330000001,-73.9856825
JUAN MOREL CAMPOS SECONDARY SCHOOL,365,361,359,"215 Heyward St, Brooklyn, NY 11206, USA",40.70382,-73.9535677
ACADEMY FOR YOUNG WRITERS,387,357,381,"1065 Elton St, Brooklyn, NY 11239, USA",40.6573832,-73.8742165
"BROOKLYN LATIN SCHOOL, THE",586,584,570,"223 Graham Ave, Brooklyn, NY 11206, USA",40.7097531,-73.944378
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,407,386,396,"223 Graham Ave #337b, Brooklyn, NY 11206, USA",40.70974229999999,-73.9445006
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,364,379,371,"850 Grand St, Brooklyn, NY 11211, USA",40.71174999999999,-73.939476
SCHOOL FOR LEGAL STUDIES,413,396,395,None,None,None
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",398,421,396,"850 Grand St, Brooklyn, NY 11211, USA",40.7119127,-73.9404248
BROOKLYN PREPARATORY HIGH SCHOOL,367,373,350,"257 N 6th St, Brooklyn, NY 11211, USA",40.71583469999999,-73.955412
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,363,385,364,"257 N 6th St, Brooklyn, NY 11211, USA",40.7158507,-73.9553949
WILLIAMSBURG PREPARATORY SCHOOL,397,410,380,"257 N 6th St, Brooklyn, NY 11211, USA",40.7157713,-73.95523870000001
LYONS COMMUNITY SCHOOL,371,377,355,"223 Graham Ave, Brooklyn, NY 11206, USA",40.709729,-73.9443861
AUTOMOTIVE HIGH SCHOOL,367,376,350,"50 Bedford Ave, Brooklyn, NY 11222, USA",40.7224451,-73.9532235
FRANCES PERKINS ACADEMY,382,372,368,"50 Bedford Ave, Brooklyn, NY 11222, USA",40.7222353,-73.95329389999999
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,359,335,341,"250 Hooper St, Brooklyn, NY 11211, USA",40.7057154,-73.9556113
BROOKLYN SCHOOL FOR GLOBAL STUDIES,361,367,383,"284 Baltic St, Brooklyn, NY 11201, USA",40.6851261,-73.99433560000001
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,393,399,387,"Brooklyn, NY, USA",40.6781784,-73.9441579
SECONDARY SCHOOL FOR LAW,398,411,394,"237 7th Ave, Brooklyn, NY 11215, USA",40.6695477,-73.9785277
SECONDARY SCHOOL FOR JOURNALISM,397,391,381,"237 7th Ave, Brooklyn, NY 11215, USA",40.6695477,-73.9785277
PARK SLOPE COLLEGIATE,379,416,380,"237 7th Ave #3405, Brooklyn, NY 11215, USA",40.6695576,-73.9790898
SCHOOL FOR INTERNATIONAL STUDIES,405,415,392,"284 Baltic St, Brooklyn, NY 11201, USA",40.684855,-73.99290739999999
COBBLE HILL SCHOOL OF AMERICAN STUDIES,398,402,385,"347 Baltic St, Brooklyn, NY 11201, USA",40.6851042,-73.9907247
PACIFIC HIGH SCHOOL,352,341,300,"1020 Pacific St, San Bernardino, CA 92404, USA",34.12911,-117.2636284
METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,368,365,368,"362 Schermerhorn St, Brooklyn, NY 11217, USA",40.6863861,-73.9797253
BROOKLYN HIGH SCHOOL OF THE ARTS,426,421,411,"345 Dean St, Brooklyn, NY 11217, USA",40.6838422,-73.9803587
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,430,416,425,"173 Conover St, Brooklyn, NY 11231, USA",40.6777746,-74.0141529
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,355,355,358,None,None,None
BOYS AND GIRLS HIGH SCHOOL,365,370,362,"1700 Fulton St, Brooklyn, NY 11213, USA",40.6788731,-73.9315586
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,362,372,358,"1396 Broadway, Brooklyn, NY 11221, USA",40.6884532,-73.9207644
GOTHAM PROFESSIONAL ARTS ACADEMY,370,372,351,"561 Grand Ave, Brooklyn, NY 11238, USA",40.6785545,-73.96194299999999
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,396,374,369,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.64930349999999,-73.95774899999999
ACADEMY OF HOSPITALITY AND TOURISM,352,342,351,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.6495659,-73.9581999
W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,394,364,334,"1150 E New York Ave, Brooklyn, NY 11212, USA",40.66629460000001,-73.9239496
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,287,335,291,"883 Classon Ave, Brooklyn, NY 11225, USA",40.6699636,-73.9615536
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,403,385,388,"883 Classon Ave, Brooklyn, NY 11225, USA",40.66995610000001,-73.9611201
"SCHOOL FOR HUMAN RIGHTS, THE",348,381,359,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6594626,-73.9431943
SCHOOL FOR DEMOCRACY AND LEADERSHIP,377,404,372,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6590114,-73.9438681
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,338,349,340,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.64930349999999,-73.95774899999999
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,362,375,368,None,None,None
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",457,462,441,"911 Flatbush Ave, Brooklyn, NY 11226, USA",40.649411,-73.9571945
INTERNATIONAL ARTS BUSINESS SCHOOL,386,391,369,None,None,None
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,418,441,414,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6593652,-73.9431462
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,388,382,373,"883 Classon Ave, Brooklyn, NY 11225, USA",40.67004070000001,-73.96102859999999
BROOKLYN SCHOOL FOR MUSIC & THEATRE,385,393,373,None,None,None
BROWNSVILLE ACADEMY HIGH SCHOOL,372,356,335,None,None,None
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,476,481,479,"1186 Carroll St, Brooklyn, NY 11225, USA",40.6667613,-73.951213
CLARA BARTON HIGH SCHOOL,425,413,413,"901 Classon Ave, Brooklyn, NY 11225, USA",40.6694253,-73.9617791
PAUL ROBESON HIGH SCHOOL,365,363,355,"4125 Ludlow St, Philadelphia, PA 19104, USA",39.957,-75.2059479
IT TAKES A VILLAGE ACADEMY,313,320,330,None,None,None
BROOKLYN GENERATION SCHOOL,374,377,394,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.633175,-73.9171154
BROOKLYN THEATRE ARTS HIGH SCHOOL,383,358,377,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6330818,-73.9175331
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,368,378,346,"5800 Tilden Ave, Brooklyn, NY 11203, USA",40.6484092,-73.9223137
VICTORY COLLEGIATE HIGH SCHOOL,387,377,379,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6335601,-73.9173831
BROOKLYN BRIDGE ACADEMY,384,362,351,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.6334402,-73.9173518
ARTS & MEDIA PREPARATORY ACADEMY,361,360,359,None,None,None
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,404,393,386,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.6405565,-73.8979655
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,393,395,381,"5800 Tilden Ave, Brooklyn, NY 11203, USA",40.6480444,-73.9222286
HIGH SCHOOL FOR MEDICAL PROFESSIONS,386,380,393,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.6407472,-73.89791679999999
OLYMPUS ACADEMY,400,370,370,"755 East 100th Street, Brooklyn, NY 11236, USA",40.6458812,-73.89858679999999
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,363,381,367,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",40.63315240000001,-73.9171504
URBAN ACTION ACADEMY,376,385,374,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",40.640423,-73.8984517
EAST BROOKLYN COMMUNITY HIGH SCHOOL,410,403,378,"9517 Kings Hwy, Brooklyn, NY 11212, USA",40.6597946,-73.9206428
EAST NEW YORK FAMILY ACADEMY,416,432,394,"760 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6610052,-73.88632620000001
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,341,349,333,None,None,None
HIGH SCHOOL FOR CIVIL RIGHTS,363,349,342,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.66681699999999,-73.8947902
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,380,386,383,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6668454,-73.8952889
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,371,365,370,"400 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6668454,-73.8952889
MULTICULTURAL HIGH SCHOOL,279,322,286,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.69300519999999,-73.8690682
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,395,418,380,"1 Wells St, Brooklyn, NY 11208, USA",40.6788665,-73.8753066
ACADEMY OF INNOVATIVE TECHNOLOGY,371,371,354,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6928503,-73.8689912
BROOKLYN LAB SCHOOL,360,385,363,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.6928503,-73.8689912
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,376,385,368,"999 Jamaica Ave, Brooklyn, NY 11208, USA",40.69300519999999,-73.8690682
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,370,369,363,"145 Pennsylvania Ave, Brooklyn, NY 11207, USA",40.6738562,-73.8961578
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",383,400,374,None,None,None
NEW UTRECHT HIGH SCHOOL,402,471,399,"1601 80th St, Brooklyn, NY 11214, USA",40.6132217,-74.0031024
HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,425,474,424,"350 67th St, Brooklyn, NY 11220, USA",40.6368194,-74.0234028
FORT HAMILTON HIGH SCHOOL,417,478,411,"8301 Shore Rd, Brooklyn, NY 11209, USA",40.6269932,-74.0401285
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,383,486,375,"5800 20th Ave, Brooklyn, NY 11204, USA",40.6212759,-73.9825528
FRANKLIN DELANO ROOSEVELT YABC,338,477,316,None,None,None
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,326,386,314,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5936235,-73.9861442
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,402,427,408,"521 West Ave, Brooklyn, NY 11224, USA",40.5827434,-73.97221139999999
HIGH SCHOOL OF SPORTS MANAGEMENT,388,398,378,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5935726,-73.985987
ABRAHAM LINCOLN HIGH SCHOOL,396,437,393,None,None,None
EDWARD R. MURROW HIGH SCHOOL,468,496,467,"1600 Avenue L, Brooklyn, NY 11230, USA",40.61985079999999,-73.9591523
JOHN DEWEY HIGH SCHOOL,404,468,390,"50 Avenue X, Brooklyn, NY 11223, USA",40.5873209,-73.9824892
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,384,375,365,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5937576,-73.9863546
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,353,370,356,None,None,None
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,414,376,None,None,None
BROOKLYN STUDIO SECONDARY SCHOOL,429,449,435,"8310 21st Ave, Brooklyn, NY 11214, USA",40.6047834,-73.9949764
LIBERATION DIPLOMA PLUS,411,369,373,"2865 W 19th St, Brooklyn, NY 11224, USA",40.5771269,-73.985817
MIDWOOD HIGH SCHOOL,478,519,476,"2839 Bedford Ave, Brooklyn, NY 11210, USA",40.632833,-73.9523773
JAMES MADISON HIGH SCHOOL,436,475,439,None,None,None
SHEEPSHEAD BAY HIGH SCHOOL,383,392,370,"3000 Avenue X, Brooklyn, NY 11235, USA",40.59372339999999,-73.936978
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,524,561,542,"1830 Shore Blvd, Brooklyn, NY 11235, USA",40.5804143,-73.9351779
BROOKLYN COLLEGE ACADEMY,456,456,440,"350 Coney Island Ave, Brooklyn, NY 11218, USA",40.6492022,-73.9718961
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,389,409,387,"2021 Bergen St, Brooklyn, NY 11233, USA",40.6744709,-73.9133811
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,361,371,359,"226 Bristol St, Brooklyn, NY 11212, USA",40.6655301,-73.9120609
BROOKLYN DEMOCRACY ACADEMY,349,338,331,"985 Rockaway Ave 2nd Floor, Brooklyn, NY 11212, USA",40.6556945,-73.90644910000002
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,311,371,311,"1150 E New York Ave, Brooklyn, NY 11212, USA",40.66629460000001,-73.9239496
METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,350,346,332,None,None,None
TEACHERS PREPARATORY HIGH SCHOOL,392,416,388,"226 Bristol St, Brooklyn, NY 11212, USA",40.6655437,-73.9119228
ACADEMY OF FINANCE AND ENTERPRISE,405,454,421,"30-20 Thomson Ave, Queens, NY 11101, USA",40.7448591,-73.9369449
HIGH SCHOOL OF APPLIED COMMUNICATION,406,413,400,"30-20 Thomson Ave, Queens, NY 11101, USA",40.7445959,-73.9369263
CIVIC LEADERSHIP ACADEMY,404,429,407,"45-10 94th St, Queens, NY 11373, USA",40.7434324,-73.8714707
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,317,323,311,"45-10 94th St, Flushing, NY 11373, USA",40.743632,-73.8708888
BARD HIGH SCHOOL EARLY COLLEGE II,545,568,550,"525 E Houston St, New York, NY 10002, USA",40.7184646,-73.97585710000001
NEWTOWN HIGH SCHOOL,383,440,380,"48-01 90th St, Queens, NY 11373, USA",40.7411032,-73.87396629999999
GROVER CLEVELAND HIGH SCHOOL,395,420,396,"21-27 Himrod St, Queens, NY 11385, USA",40.7115388,-73.90902249999999
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,399,393,385,"45-35 Van Dam St, Queens, NY 11101, USA",40.7433295,-73.9333269
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,326,409,329,"45-35 Van Dam St, Queens, NY 11101, USA",40.7439998,-73.9350125
HIGH SCHOOL FOR ARTS AND BUSINESS,391,403,380,"105-25 Horace Harding Expy, Queens, NY 11368, USA",40.737637,-73.853408
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",443,447,440,"47-07 30th Pl, Queens, NY 11101, USA",40.742216,-73.936443
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,417,447,406,"37-02 47th Ave, Long Island City, NY 11101, USA",40.741945,-73.9279999
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,445,496,423,None,None,None
"QUEENS SCHOOL OF INQUIRY, THE",455,498,443,"158-40 76th Rd, Queens, NY 11366, USA",40.7241505,-73.8093686
FLUSHING INTERNATIONAL HIGH SCHOOL,314,417,318,"144-80 Barclay Ave, Queens, NY 11355, USA",40.7600404,-73.8180648
EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,416,463,392,"46-21 Colden St, Queens, NY 11355, USA",40.7492327,-73.8214862
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,471,489,481,"34-65 192nd St, Queens, NY 11358, USA",40.7653711,-73.78948129999999
JOHN BOWNE HIGH SCHOOL,397,451,395,"63-25 Main St, Queens, NY 11367, USA",40.73853870000001,-73.82398429999999
FLUSHING HIGH SCHOOL,393,441,382,"35-01 Union St, Queens, NY 11354, USA",40.7648631,-73.82639209999999
FLUSHING YABC,378,373,344,"35-01 Union St, Flushing, NY 11354, USA",40.7647694,-73.8263758
TOWNSEND HARRIS HIGH SCHOOL,621,651,638,"149-11 Melbourne Ave, Queens, NY 11367, USA",40.7350157,-73.82129929999999
QUEENS ACADEMY HIGH SCHOOL,398,382,388,"138-11 35th Ave, Queens, NY 11354, USA",40.76561359999999,-73.8283306
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,431,458,441,"75-40 Parsons Blvd, Queens, NY 11366, USA",40.7253501,-73.8113253
NORTH QUEENS COMMUNITY HIGH SCHOOL,379,421,377,"141-25 77th Rd, Queens, NY 11367, USA",40.7205757,-73.8195993
BENJAMIN N. CARDOZO HIGH SCHOOL,480,545,489,"57-00 223rd St, Queens, NY 11364, USA",40.7517895,-73.75644299999999
FRANCIS LEWIS HIGH SCHOOL,468,539,467,"58-20 Utopia Pkwy, Queens, NY 11365, USA",40.7409708,-73.79432059999999
MARTIN VAN BUREN HIGH SCHOOL,391,397,384,"230-17 Hillside Ave., Queens, NY 11427, USA",40.7336309,-73.7391435
BAYSIDE HIGH SCHOOL,462,523,464,"32-24 Corporal Kennedy St, Queens, NY 11361, USA",40.771482,-73.78080709999999
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",425,434,420,"74-20 Commonwealth Blvd, Queens, NY 11426, USA",40.744121,-73.728799
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,387,385,373,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",40.601532,-73.76397899999999
CHANNEL VIEW SCHOOL FOR RESEARCH,432,419,401,"100-00 Beach Channel Dr, Queens, NY 11694, USA",40.5863205,-73.8238186
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",391,401,364,"8-21 Bay 25th St, Queens, NY 11691, USA",40.601532,-73.76397899999999
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,423,426,416,"138-30 Lafayette St, Queens, NY 11417, USA",40.671035,-73.8456739
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,367,379,348,None,None,None
SCHOLARS,499,537,496,None,None,None
AUGUST MARTIN HIGH SCHOOL,377,371,360,"156-10 Baisley Blvd, Queens, NY 11434, USA",40.674757,-73.7832507
BEACH CHANNEL HIGH SCHOOL,384,396,354,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",40.58637299999999,-73.8226608
RICHMOND HILL HIGH SCHOOL,382,404,368,"1 Wildcat Dr, Richmond Hill, GA 31324, USA",31.9256491,-81.31625989999999
JOHN ADAMS HIGH SCHOOL,391,409,392,None,None,None
"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",429,491,425,"94-06 104th St, Ozone Park, NY 11416, USA",40.6892334,-73.8412058
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,420,445,400,"167-01 Gothic Dr, Queens, NY 11432, USA",40.71443319999999,-73.79825240000001
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,403,408,367,"162-02 Hillside Ave., Jamaica, NY 11432, USA",40.7082557,-73.7995851
JAMAICA GATEWAY TO THE SCIENCES,430,452,425,"167-01 Gothic Dr, Queens, NY 11432, USA",40.71443319999999,-73.79825240000001
FOREST HILLS HIGH SCHOOL,456,497,454,"67-01 110th St, Queens, NY 11375, USA",40.7297115,-73.84492589999999
JAMAICA HIGH SCHOOL,342,368,353,"167-01 Gothic Dr, Jamaica, NY 11432, USA",40.71443319999999,-73.79825240000001
HILLCREST HIGH SCHOOL,395,413,386,"160-05 Highland Ave, Queens, NY 11432, USA",40.7093971,-73.80232749999999
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,452,478,442,"165-65 84th Ave, Queens, NY 11432, USA",40.7162714,-73.7983076
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,513,523,502,None,None,None
QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,612,660,596,"94-50 159th St, Jamaica, NY 11451, USA",40.7009286,-73.7983153
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406,406,384,"116-25 Guy R Brewer Blvd, Queens, NY 11434, USA",40.6860509,-73.7835331
YOUNG WOMEN,439,445,432,None,None,None
QUEENS PREPARATORY ACADEMY,360,380,359,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.6676524,-73.7574605
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,401,397,375,"109-89 204th St, Queens, NY 11412, USA",40.70573419999999,-73.75300589999999
EXCELSIOR PREPARATORY HIGH SCHOOL,402,398,402,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.6680413,-73.7579342
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,436,427,424,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.66751319999999,-73.75761949999999
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,370,367,363,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.6675872,-73.75817420000001
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",400,426,394,"207- 01 116th Ave, Queens, NY 11411, USA",40.6981976,-73.74601419999999
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",385,377,377,"207-01 116th Ave, Cambria Heights, NY 11411, USA",40.698328,-73.74615
"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",379,414,359,None,None,None
HUMANITIES & ARTS MAGNET HIGH SCHOOL,393,381,377,None,None,None
ACADEMY FOR CAREERS IN TELEVISION AND FILM,410,440,405,"1-50 51st Ave, Queens, NY 11101, USA",40.7426929,-73.9595368
WILLIAM CULLEN BRYANT HIGH SCHOOL,414,449,412,"48-10 31st Ave, Queens, NY 11103, USA",40.7576896,-73.91037779999999
LONG ISLAND CITY HIGH SCHOOL,403,420,395,"14-30 Broadway, Queens, NY 11106, USA",40.7657451,-73.9329135
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,504,496,494,"35-12 35th Ave, Queens, NY 11106, USA",40.7560998,-73.9251673
INFORMATION TECHNOLOGY HIGH SCHOOL,407,434,398,"21-16 44th Rd, Queens, NY 11101, USA",40.7484914,-73.946552
NEWCOMERS HIGH SCHOOL,323,475,329,"28-01 41st Ave, Queens, NY 11101, USA",40.7515013,-73.93693429999999
ACADEMY OF AMERICAN STUDIES,487,492,491,"40-11 28th St, Queens, NY 11101, USA",40.7524223,-73.93690269999999
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,524,568,544,"34-12 36th Ave, Queens, NY 11106, USA",40.7551568,-73.9269736
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,452,451,450,"100 Essex Dr, Staten Island, NY 10314, USA",40.5819258,-74.1585989
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,398,412,385,"100 Essex Dr, Staten Island, NY 10314, USA",40.5817795,-74.1588842
THE MICHAEL J. PETRIDES SCHOOL,472,488,466,"715 Ocean Terrace, Staten Island, NY 10301, USA",40.6082679,-74.1054571
NEW DORP HIGH SCHOOL,424,437,416,"465 New Dorp Ln, Staten Island, NY 10306, USA",40.5699022,-74.10676260000001
PORT RICHMOND HIGH SCHOOL,424,438,417,"85 St Josephs Ave, Staten Island, NY 10302, USA",40.6351288,-74.142217
CURTIS HIGH SCHOOL,437,435,429,"105 Hamilton Ave, Staten Island, NY 10301, USA",40.6453915,-74.0821734
TOTTENVILLE HIGH SCHOOL,462,486,470,"100 Luten Ave, Staten Island, NY 10312, USA",40.5279412,-74.1921115
