School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust,Cluster
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.626112938,4.44,4.31,4.46,4.02,3.66,4.06,4.16,2
School of the Future High School - [HS] 02M413,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.795267527,4.71,4.28,3.39,3.8,3.35,3.29,2.88,2
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,2.492849484,4.4,3.82,3.3,3.94,3.56,3.2,3.66,2
Millennium High School - [HS] 02M418,Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,2.492849484,4.62,3.0,3.4,4.04,3.31,2.66,3.58,2
Landmark High School - [HS] 02M419,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.949675305,3.32,3.27,3.49,3.13,3.94,4.11,3.48,2
Manhattan Academy For Arts & Language - [HS] 02M427,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,2.492849484,3.21,4.39,4.37,3.86,4.73,3.51,3.82,2
Murray Hill Academy - [HS] 02M432,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.31,4.83,4.79,3.85,4.38,3.05,3.4,2
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.32,1.050819097,-0.6322314163,-0.07621241909,1.949675305,3.3,4.52,4.24,4.2,4.7,3.94,4.14,2
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,1.37,1.241421365,0.4911174724,0.4823865943,1.795219335,4.99,4.03,3.21,4.24,3.64,3.09,3.68,2
Unity Center for Urban Technologies - [HS] 02M500,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.95,3.57,4.17,3.92,4.16,4.07,4.44,2
Manhattan Bridges High School - [HS] 02M542,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.626112938,4.22,4.84,4.42,4.2,3.92,3.92,4.02,2
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.32,1.232384401,-0.6685599181,0.8046835199,1.609486633,3.65,3.88,4.35,3.84,3.82,3.41,3.79,2
Humanities Preparatory Academy - [HS] 02M605,18 St,-0.32,1.045583354,-0.6446890339,0.2312736952,1.389874821,4.0,4.08,4.87,3.92,4.22,3.57,4.17,2
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.55,4.72,3.2,3.91,2.26,3.84,3.11,2
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.526306912,3.51,3.76,4.18,3.35,3.76,4.1,3.72,2
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.66,4.32,3.0,4.21,3.76,3.08,3.39,2
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.251515042,4.87,4.97,4.55,4.43,4.45,4.2,3.97,2
Manhattan Center for Science and Mathematics - [HS] 04M435,116 St and Lexington Av,-0.32,0.5638137359,-0.6007330387,-0.3553313364,1.338694715,4.36,4.94,4.93,4.49,4.86,3.18,4.52,2
Park East High School - [HS] 04M495,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.338694715,4.46,4.02,4.29,4.11,3.93,3.89,3.95,2
Central Park East High School - [HS] 04M555,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.100143372,4.57,4.77,4.43,4.34,3.81,3.72,4.04,2
