Node,eigenvector Centrality
125 St and St Nicholas Av,0.014659812420305
42 St-Port Authority Bus Terminal,0.036603034666216
14 St and 8 Av,0.047706096681209
W 4 St-Wash Sq,0.087288923863846
Canal St and 6th Ave,0.042644187432325
Chambers St and Church St,0.047338591923226
High St,0.059243910001825
Jay St-MetroTech,0.09188961923567
Hoyt-Schermerhorn Sts,0.030528224855644
Nostrand Av and Fulton St,0.009820127134479
Utica Av,0.003780263083714
Broadway Junction,0.001465547655949
Euclid Av,0.000411258349776
Grant Av,0.000106038124961
80 St,2.7340376846e-05
88 St,7.04922847e-06
Rockaway Blvd,1.817493003e-06
104 St and Liberty Av,4.68594722e-07
111 St and Liberty Av,1.20813471e-07
Ozone Park-Lefferts Blvd,3.1148265e-08
Aqueduct Racetrack,8.032886e-09
Howard Beach-JFK Airport,2.080758e-09
Broad Channel,5.74599e-10
Beach 67 St,1.48126e-10
Beach 60 St,3.8184e-11
Beach 44 St,9.843e-12
Beach 36 St,2.536e-12
Beach 25 St,6.51e-13
Far Rockaway-Mott Av,1.57e-13
Beach 90 St,1.48123e-10
Beach 98 St,3.8173e-11
Beach 105 St,9.799e-12
Rockaway Park-Beach 116 St,2.369e-12
Bedford Park Blvd,1.1625674e-08
Kingsbridge Rd and Grand Concourse,4.5217963e-08
Fordham Rd and Grand Concourse,1.75213059e-07
182-183 Sts,6.78820353e-07
Tremont Av,2.630126418e-06
174-175 Sts,1.0191423858e-05
170 St and Grand Concourse,3.9493580694e-05
167 St and Tudor Pl,0.000153055309125
155 St and Frederick Douglas Blvd,0.001583931499696
135 St and St. Nicholas Av,0.004986404565808
116 St and Frederick Douglass Blvd,0.003785271927746
Cathedral Pkwy (110 St) and Frederick Douglass Blvd,0.000989221844529
103 St and Central Park W,0.000304178796903
96 St and Central Park W,0.000268195340322
86 St and Central Park W,0.000804508126332
81 St-Museum of Natural History,0.003057747265714
72 St and Central Park W,0.011837168546286
7 Av and 53rd St,0.025776971105155
47-50 Sts-Rockefeller Ctr,0.027837114322499
42 St-Bryant Pk,0.089331533904344
34 St-Herald Sq,0.177703906678884
Broadway-Lafayette St,0.061510629787282
Grand St,0.167108232934611
DeKalb Av and Flatbush Av Ext,0.257530513399379
7 Av and Park Pl,0.096818967464346
Prospect Park,0.028327857547192
Church Av and 18th Street,0.010869539124259
Newkirk Plaza,0.003532534224083
Kings Hwy and E 15th St,0.001084256957067
Sheepshead Bay,0.000317972061534
Brighton Beach,8.1987584085e-05
163 St-Amsterdam Av,0.000819220704753
155 St and St Nicholas Av,0.001638625334376
50 St and 8th Av,0.026185048760268
23 St and 8th Av,0.030708868095834
Spring St and 6th Av,0.031418982732453
Lafayette Av,0.008026746992568
Clinton-Washington Avs and Lafayette Av,0.002670822355876
Franklin Av and Fulton St,0.003019990731208
Kingston-Throop Avs,0.003288217761369
Ralph Av,0.001061682558657
Rockaway Av and Fulton St,0.000611005971747
Liberty Av,0.000384355918841
Van Siclen Av and Pitkin Av,0.000124223235236
Shepherd Av,0.000129460937459
Norwood-205 St,2.81414e-09
36 St and Fourth Av,0.126415097579632
9 Av,0.032596268005754
Fort Hamilton Pkwy and 44th St,0.008404932966002
50 St and New Utrecht Av,0.002167194024506
55 St,0.000558802325972
62 St,0.000144083824514
71 St,3.7150924301e-05
79 St and New Utrecht Av,9.579392678e-06
18 Av and 85 St,2.471583935e-06
20 Av and 86th St,6.43727467e-07
Bay Pkwy and 86th St,1.91071911e-07
25 Av,1.46620016e-07
Bay 50 St,4.15420868e-07
Coney Island-Stillwell Av,1.571753983e-06
Jamaica Center-Parsons/Archer,3.9657989e-08
Sutphin Blvd-Archer Av-JFK Airport,1.63915924e-07
Jamaica-Van Wyck,5.68863939e-07
Briarwood,2.187531028e-06
Kew Gardens-Union Tpke,8.473945413e-06
75 Av,3.2843712076e-05
Forest Hills-71 Av,0.000127307645642
Jackson Hts-Roosevelt Av,0.000460154135912
Queens Plaza,0.001536012772189
Court Sq-23 St,0.000809231643563
Lexington Av/53 St,0.001809638441346
5 Av/53 St,0.00667237658205
World Trade Center,0.010311621522663
21 St,0.000769588832606
Greenpoint Av,0.00019850993405
Nassau Av,5.1338848977e-05
Metropolitan Av,1.379714425e-05
Broadway and Union Av,5.71780138e-06
Flushing Av and Union Av,9.849802415e-06
Myrtle-Willoughby Avs,3.5021914049e-05
Bedford-Nostrand Avs,0.000135005766081
Classon Av,0.000523377978605
Clinton-Washington Avs and Fulton St,0.002029734813739
Fulton St and Lafayette Av,0.007871750211916
Bergen St and Warren St,0.008657482495563
Carroll St,0.005279633894959
Smith-9 Sts,0.013179608090793
4 Av-9 St,0.049232444376076
7 Av and 9th St,0.012694281863399
15 St-Prospect Park,0.003272281350342
Fort Hamilton Pkwy and Prospect Av,0.000840258400851
Church Av and McDonald Av,0.000203148870431
Astoria-Ditmars Blvd,5.82657096e-07
Astoria Blvd,2.408940626e-06
30 Av,9.377171456e-06
Broadway and 31st St,3.6362397824e-05
36 Av,0.000140972881671
39 Av-Dutch Kills,0.000546542422381
Lexington Av/59 St,0.00468481769618
5 Av/59 St,0.01571626832761
57 St-7 Av,0.060301906414833
49 St,0.054212352564967
59 St and 4th Av,0.039916744193315
8 Av and 61st St,0.010292484336063
Fort Hamilton Pkwy and 62nd St,0.002653886552517
New Utrecht Av,0.000684291699594
18 Av and 64 St,0.000176440188934
20 Av and 64th St,4.549504918e-05
"Bay Pkwy, Avenue O and 8th St",1.1736616539e-05
Kings Hwy and 8th St ,3.050425756e-06
Avenue U and W 8 St,8.80811275e-07
86 St and 7th St,5.92917681e-07
96 St and 2nd Av,0.00024916282333
86 St and 2nd Av,0.001030217161472
72 St and 2nd Av,0.004010589372814
Lexington Av/63 St,0.015553204066787
Parkside Av,0.009476944592337
Cortelyou Rd,0.001729281111201
Avenue H,0.000927942430243
Avenue J,0.000305584822037
Avenue M,0.000336018242297
Avenue U and East 16th St,0.000298150540903
Neck Rd,0.000148956913574
Ocean Pkwy,2.1149508543e-05
W 8 St-NY Aquarium,5.493076148e-06
67 Av,3.333457123e-05
63 Dr-Rego Park,1.0502986412e-05
Woodhaven Blvd and 59th Av,1.0084393984e-05
Grand Av-Newtown,3.1185659045e-05
Elmhurst Av,0.000118843044571
65 St,0.000120345534103
Northern Blvd,3.7396936076e-05
46 St,3.4260229058e-05
Steinway St,0.000104242032019
36 St,0.000396718644267
28 St and Broadway,0.066028977610494
23 St and Broadway,0.095364977667502
8 St-NYU,0.111276988357499
Prince St,0.13184581724281
City Hall,0.112843860637392
Cortlandt St,0.032688850873366
Whitehall St-South Ferry,0.043578156770233
Court St,0.032753080599856
Union St,0.125132119038329
Prospect Av and 4th Av,0.052622831356243
25 St,0.043287030559184
45 St,0.034939898554394
53 St,0.018098439846987
Bay Ridge Av,0.010292296643395
77 St and Fourth Av,0.002653110186572
86 St and 4th Av,0.000681268090041
Bay Ridge-95 St,0.000164710054958
121 St,6.9017365e-08
104 St and Jamaica Av,1.21435569e-07
Woodhaven Blvd and Jamaica Av,4.3325843e-07
75 St-Elderts Ln,1.670689118e-06
Crescent St,6.477308684e-06
Norwood Av,2.5121473327e-05
Van Siclen Av and Fulton St,9.743182567e-05
Alabama Av,0.00037787879238
Chauncey St,0.00049697819178
Gates Av,0.000590027590047
Myrtle Av,0.001943394766859
Marcy Av,0.007447822219661
Delancey St-Essex St,0.028860566449561
Bowery,0.111918268828167
Chambers St and Centre St,0.141967290521744
Broad St,0.037026970400563
St George,0.00148642676775
Tompkinsville,0.000383278123709
Stapleton,9.8828488707e-05
Clifton,2.5482828449e-05
Grasmere,6.570677931e-06
Old Town,1.694218786e-06
Dongan Hills,4.36842844e-07
Jefferson Av,1.12635943e-07
Grant City,2.9041858e-08
New Dorp,7.488019e-09
Oakwood Heights,1.930653e-09
Bay Terrace,4.97778e-10
Great Kills,1.28339e-10
Eltingville,3.3089e-11
Annadale,8.531e-12
Huguenot,2.199e-12
Prince's Bay,5.67e-13
Pleasant Plains,1.46e-13
Richmond Valley,3.8e-14
Arthur Kill,1e-14
Tottenville,2e-15
