Node,eigenvector Centrality
33 St-Rawson St,0.07614284676696341
Queensboro Plaza,0.2983066207580246
Court Sq,0.4440339852682638
Hunters Point Av,1.3834295149843487
Vernon Blvd-Jackson Av,4.433666500911159
5 Av,7.175064312030408
34 St-Hudson Yards,4.504610149319282
Inwood-207 St,0.00022461095690916685
Dyckman St and Broadway,0.0009481194816300645
190 St,0.003777449300243634
181 St and Fort Washington Av,0.014990459532545415
175 St,0.05935744554491948
168 St,0.23315258897011645
145 St and St Nicholas Av,0.7904595912059167
125 St and St Nicholas Av,1.8906864895870878
42 St-Port Authority Bus Terminal,4.384585203216705
14 St and 8 Av,7.420254167350146
W 4 St-Wash Sq,8.44857124157553
Canal St and 6th Ave,4.891634315325898
Chambers St and Church St,4.896697581431334
High St,5.606992530357222
Jay St-MetroTech,7.541254703873402
Hoyt-Schermerhorn Sts,3.24517815066454
Nostrand Av and Fulton St,1.1563974597903253
Utica Av,0.46192639794571166
Broadway Junction,0.22261193012736166
Euclid Av,0.061307022865692486
Grant Av,0.015470006499618445
80 St,0.003895240931509777
88 St,0.0009802521596828874
Rockaway Blvd,0.00024664794350465305
104 St and Liberty Av,6.205816327672751e-05
111 St and Liberty Av,1.5614050044190742e-05
Ozone Park-Lefferts Blvd,3.928618156057843e-06
Aqueduct Racetrack,9.88736745106678e-07
Howard Beach-JFK Airport,2.4985024325660716e-07
Broad Channel,6.712031968712319e-08
Beach 67 St,1.689095972416819e-08
Beach 60 St,4.251115014433802e-09
Beach 44 St,1.0700169638506127e-09
Beach 36 St,2.6924240614336524e-10
Beach 25 St,6.74340583370281e-11
Far Rockaway-Mott Av,1.5843326650595147e-11
Beach 90 St,1.689070215242702e-08
Beach 98 St,4.250033213119182e-09
Beach 105 St,1.0657199566566771e-09
Rockaway Park-Beach 116 St,2.52201814983554e-10
Bedford Park Blvd,1.2725275500447274e-06
Kingsbridge Rd and Grand Concourse,5.068292619722004e-06
Fordham Rd and Grand Concourse,2.011803532409764e-05
182-183 Sts,7.985001181658747e-05
Tremont Av,0.0003169645363545255
174-175 Sts,0.0012582810611072744
170 St and Grand Concourse,0.004994750591655814
167 St and Tudor Pl,0.01981476809019044
155 St and Frederick Douglas Blvd,0.21253730853393066
135 St and St. Nicholas Av,0.6726142185487145
116 St and Frederick Douglass Blvd,0.5201220148864167
Cathedral Pkwy (110 St) and Frederick Douglass Blvd,0.1358093739167508
103 St and Central Park W,0.040960225720163265
96 St and Central Park W,0.036371299545260145
86 St and Central Park W,0.11209816440666961
81 St-Museum of Natural History,0.42863481748288884
72 St and Central Park W,1.580084986479153
7 Av and 53rd St,3.4554744267606656
47-50 Sts-Rockefeller Ctr,3.8443518059009896
42 St-Bryant Pk,8.163513292250713
34 St-Herald Sq,12.355788232718261
Broadway-Lafayette St,6.387225326460549
Grand St,11.647175379621395
DeKalb Av and Flatbush Av Ext,13.7351828622534
7 Av and Park Pl,7.7494072098417375
Prospect Park,3.0417481457279933
Church Av and 18th Street,1.2595890036382618
Newkirk Plaza,0.4161028237809962
Kings Hwy and E 15th St,0.12567485224434266
Sheepshead Bay,0.035953967735942574
Brighton Beach,0.009061904974844059
163 St-Amsterdam Av,0.10797526411345279
155 St and St Nicholas Av,0.21943656129922962
50 St and 8th Av,3.2758136645842795
23 St and 8th Av,4.55204487598771
Spring St and 6th Av,3.97387662867109
Lafayette Av,0.9648243274026308
Clinton-Washington Avs and Lafayette Av,0.32420658532466884
Franklin Av and Fulton St,0.3643006210936667
Kingston-Throop Avs,0.3969412139023055
Ralph Av,0.1315075480658147
Rockaway Av and Fulton St,0.08434869869556623
Liberty Av,0.05749741471845637
Van Siclen Av and Pitkin Av,0.018094767575998157
Shepherd Av,0.01882747575837581
Norwood-205 St,3.0159928385763134e-07
36 St and Fourth Av,9.051318456551291
9 Av,3.3939876135177856
Fort Hamilton Pkwy and 44th St,0.9987580411858972
50 St and New Utrecht Av,0.2632972467540366
55 St,0.06707280597965476
62 St,0.016930067839786463
71 St,0.004263311981042176
79 St and New Utrecht Av,0.0010729649707953892
18 Av and 85 St,0.0002701340546855907
20 Av and 86th St,6.857010575976931e-05
Bay Pkwy and 86th St,1.964585106905667e-05
25 Av,1.4457422297307645e-05
Bay 50 St,4.145704863307885e-05
