Node,closeness Centrality,standardized closeness
Baychester Av,4.16E-02,-1.66E+00
Gun Hill Rd and Sexton Pl,4.33E-02,-1.57E+00
Pelham Pkwy and Laconia Av,4.53E-02,-1.46E+00
Morris Park,4.74E-02,-1.35E+00
Pelham Bay Park,3.55E-02,-1.98E+00
Buhre Av,3.68E-02,-1.91E+00
Middletown Rd,3.82E-02,-1.84E+00
Westchester Sq-E Tremont Av,3.97E-02,-1.76E+00
Zerega Av,4.13E-02,-1.67E+00
Castle Hill Av,4.31E-02,-1.58E+00
Parkchester,4.49E-02,-1.48E+00
St Lawrence Av,4.70E-02,-1.38E+00
Morrison Av-Soundview,4.92E-02,-1.26E+00
Elder Av,5.17E-02,-1.13E+00
Whitlock Av,5.43E-02,-9.90E-01
Hunts Point Av,5.73E-02,-8.34E-01
Longwood Av,6.06E-02,-6.62E-01
E 149 St,6.43E-02,-4.70E-01
E 143 St-St Mary's St,6.84E-02,-2.54E-01
Cypress Av,7.31E-02,-9.65E-03
Brook Av,0.07837837838,0.26889235
3 Av-138 St,0.0844988345,0.5894549761
116 St and Lexington Av,0.08400926999,0.5638137359
110 St,0.07756776034,0.2264357354
103 St and Lexington,0.08129321622,0.4215587616
96 St and Lexington Av,0.08839666734,0.7936063512
77 St and Lexington Av,0.08836075564,0.7917254536
68 St-Hunter College,0.09330759331,1.050819097
51 St,0.1009749304,1.452400556
33 St,0.09922445255,1.360718212
28 St and Park Av S,9.51E-02,1.14E+00
23 St and Park Av S,0.102280743,1.520793291
Astor Pl,0.102280743,1.520793291
Bleecker St,9.70E-02,1.24E+00
Spring St and Lafayette,0.1018258427,1.496967609
Canal St,0.1132517574,2.095406866
Flushing-Main St,3.96E-02,-1.76E+00
Mets-Willets Point,4.13E-02,-1.67E+00
111 St and Roosevelt Av,4.30E-02,-1.58E+00
103 St-Corona Plaza,4.50E-02,-1.48E+00
Junction Blvd,4.70E-02,-1.37E+00
90 St-Elmhurst Av,4.93E-02,-1.25E+00
82 St-Jackson Hts,5.18E-02,-1.12E+00
74 St-Broadway,5.45E-02,-9.80E-01
69 St,5.76E-02,-8.21E-01
61 St-Woodside,6.09E-02,-6.44E-01
52 St,6.47E-02,-4.47E-01
46 St-Bliss St,6.90E-02,-2.24E-01
40 St-Lowery St,0.07377883311,0.02798835815
33 St-Rawson St,0.07929274517,0.3167828689
Queensboro Plaza,0.08566364711,0.6504627475
Court Sq,0.08879363135,0.8143975835
Hunters Point Av,0.09460635059,1.118842302
Vernon Blvd-Jackson Av,0.1016592662,1.488243063
5 Av,0.1040172166,1.611742158
34 St-Hudson Yards,0.09707654541,1.248220265
Inwood-207 St,5.70E-02,-8.50E-01
Dyckman St and Broadway,6.05E-02,-6.70E-01
190 St,6.43E-02,-4.67E-01
181 St and Fort Washington Av,0.06868782568,-0.2386562644
175 St,0.07366638442,0.0220987895
168 St,0.07939405001,0.3220887717
145 St and St Nicholas Av,0.08601937908,0.6690944268
125 St and St Nicholas Av,0.09071949948,0.9152661024
42 St-Port Authority Bus Terminal,0.09592061742,1.18767783
14 St and 8 Av,0.1022326675,1.518275304
W 4 St-Wash Sq,0.1066176471,1.747941288
Canal St and 6th Ave,0.09727191413,1.25845282
Chambers St and Church St,0.09537382153,1.159039062
High St,0.09846084201,1.320723644
Jay St-MetroTech,0.1026669814,1.54102276
Hoyt-Schermerhorn Sts,0.09645232816,1.215526505
Nostrand Av and Fulton St,0.09060612372,0.909327978
Utica Av,0.08544490277,0.6390058794
Broadway Junction,0.08109619687,0.4112397527
Euclid Av,0.07558644657,0.1226632168
Grant Av,7.07E-02,-1.32E-01
80 St,6.64E-02,-3.57E-01
88 St,6.26E-02,-5.58E-01
Rockaway Blvd,5.92E-02,-7.37E-01
104 St and Liberty Av,5.61E-02,-8.98E-01
111 St and Liberty Av,5.33E-02,-1.04E+00
Ozone Park-Lefferts Blvd,5.08E-02,-1.18E+00
Aqueduct Racetrack,4.84E-02,-1.30E+00
Howard Beach-JFK Airport,4.63E-02,-1.41E+00
Broad Channel,4.44E-02,-1.51E+00
Beach 67 St,4.25E-02,-1.61E+00
Beach 60 St,4.08E-02,-1.70E+00
Beach 44 St,3.92E-02,-1.78E+00
Beach 36 St,3.78E-02,-1.86E+00
Beach 25 St,3.64E-02,-1.93E+00
Far Rockaway-Mott Av,3.51E-02,-2.00E+00
Beach 90 St,4.25E-02,-1.61E+00
Beach 98 St,4.08E-02,-1.70E+00
Beach 105 St,3.92E-02,-1.78E+00
