Node,Node Degree
79 St and New Utrecht Av,2
18 Av and 85 St,2
20 Av and 86th St,2
Bay Pkwy and 86th St,2
25 Av,2
Bay 50 St,2
Coney Island-Stillwell Av,3
Jamaica Center-Parsons/Archer,1
Sutphin Blvd-Archer Av-JFK Airport,3
Jamaica-Van Wyck,2
Briarwood,2
Kew Gardens-Union Tpke,2
75 Av,2
Forest Hills-71 Av,3
Jackson Hts-Roosevelt Av,4
Queens Plaza,4
Court Sq-23 St,2
Lexington Av/53 St,2
5 Av/53 St,2
World Trade Center,1
21 St,2
Greenpoint Av,2
Nassau Av,2
Metropolitan Av,2
Broadway and Union Av,2
Flushing Av and Union Av,2
Myrtle-Willoughby Avs,2
Bedford-Nostrand Avs,2
Classon Av,2
Clinton-Washington Avs and Fulton St,2
Fulton St and Lafayette Av,2
Bergen St and Warren St,2
Carroll St,2
Smith-9 Sts,2
4 Av-9 St,4
7 Av and 9th St,2
15 St-Prospect Park,2
Fort Hamilton Pkwy and Prospect Av,2
Church Av and McDonald Av,1
Astoria-Ditmars Blvd,1
Astoria Blvd,2
30 Av,2
Broadway and 31st St,2
36 Av,2
39 Av-Dutch Kills,2
Lexington Av/59 St,3
5 Av/59 St,2
57 St-7 Av,4
49 St,2
59 St and 4th Av,4
8 Av and 61st St,2
Fort Hamilton Pkwy and 62nd St,2
New Utrecht Av,2
18 Av and 64 St,2
20 Av and 64th St,2
"Bay Pkwy, Avenue O and 8th St",2
Kings Hwy and 8th St ,2
Avenue U and W 8 St,2
86 St and 7th St,2
96 St and 2nd Av,1
86 St and 2nd Av,2
72 St and 2nd Av,2
Lexington Av/63 St,2
Parkside Av,2
Cortelyou Rd,2
Avenue H,2
Avenue J,2
Avenue M,2
Avenue U and East 16th St,2
Neck Rd,2
Ocean Pkwy,2
W 8 St-NY Aquarium,2
67 Av,2
63 Dr-Rego Park,2
Woodhaven Blvd and 59th Av,2
Grand Av-Newtown,2
Elmhurst Av,2
65 St,2
Northern Blvd,2
46 St,2
Steinway St,2
36 St,2
28 St and Broadway,2
23 St and Broadway,2
8 St-NYU,2
Prince St,2
City Hall,2
Cortlandt St,2
