School Name,Reading,Math,Writing,Total,Address,lat,lng,Stop Name,Stop Lat,Stop Lng
HILLCREST HIGH SCHOOL,395,413,386,1194,"160-05 Highland Ave, Queens, NY 11432, USA",40.7094,-73.8023,,,
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,452,478,442,1372,"165-65 84th Ave, Queens, NY 11432, USA",40.71627,-73.7983,,,
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,513,523,502,1538,"160-20 Goethals Ave, Queens, NY 11432",40.71861,-73.8053,,,
QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,612,660,596,1868,"94-50 159th St, Jamaica, NY 11451, USA",40.70093,-73.7983,,,
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406,406,384,1196,"116-25 Guy R Brewer Blvd, Queens, NY 11434, USA",40.68605,-73.7835,,,
YOUNG WOMEN,439,445,432,1316,"150-91 87th Rd, Queens, NY 11432",40.70861,-73.8035,,,
QUEENS PREPARATORY ACADEMY,360,380,359,1099,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.66765,-73.7575,,,
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,401,397,375,1173,"109-89 204th St, Queens, NY 11412, USA",40.70573,-73.753,,,
EXCELSIOR PREPARATORY HIGH SCHOOL,402,398,402,1202,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.66804,-73.7579,,,
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,436,427,424,1287,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.66751,-73.7576,,,
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,370,367,363,1100,"143-10 Springfield Blvd, Queens, NY 11413, USA",40.66759,-73.7582,,,
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",400,426,394,1220,"207- 01 116th Ave, Queens, NY 11411, USA",40.6982,-73.746,,,
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",385,377,377,1139,"207-01 116th Ave, Cambria Heights, NY 11411, USA",40.69833,-73.7462,,,
HUMANITIES & ARTS MAGNET HIGH SCHOOL,393,381,377,1151,"207-01 116th Ave, Cambria Heights, NY 11411",40.69889,-73.745,,,
ACADEMY FOR CAREERS IN TELEVISION AND FILM,410,440,405,1255,"1-50 51st Ave, Queens, NY 11101, USA",40.74269,-73.9595,,,
WILLIAM CULLEN BRYANT HIGH SCHOOL,414,449,412,1275,"48-10 31st Ave, Queens, NY 11103, USA",40.75769,-73.9104,,,
LONG ISLAND CITY HIGH SCHOOL,403,420,395,1218,"14-30 Broadway, Queens, NY 11106, USA",40.76575,-73.9329,,,
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,504,496,494,1494,"35-12 35th Ave, Queens, NY 11106, USA",40.7561,-73.9252,,,
INFORMATION TECHNOLOGY HIGH SCHOOL,407,434,398,1239,"21-16 44th Rd, Queens, NY 11101, USA",40.74849,-73.9466,,,
NEWCOMERS HIGH SCHOOL,323,475,329,1127,"28-01 41st Ave, Queens, NY 11101, USA",40.7515,-73.9369,,,
ACADEMY OF AMERICAN STUDIES,487,492,491,1470,"40-11 28th St, Queens, NY 11101, USA",40.75242,-73.9369,,,
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,524,568,544,1636,"34-12 36th Ave, Queens, NY 11106, USA",40.75516,-73.927,,,
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,452,451,450,1353,"100 Essex Dr, Staten Island, NY 10314, USA",40.58193,-74.1586,,,
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,398,412,385,1195,"100 Essex Dr, Staten Island, NY 10314, USA",40.58178,-74.1589,,,
THE MICHAEL J. PETRIDES SCHOOL,472,488,466,1426,"715 Ocean Terrace, Staten Island, NY 10301, USA",40.60827,-74.1055,,,
NEW DORP HIGH SCHOOL,424,437,416,1277,"465 New Dorp Ln, Staten Island, NY 10306, USA",40.5699,-74.1068,,,
PORT RICHMOND HIGH SCHOOL,424,438,417,1279,"85 St Josephs Ave, Staten Island, NY 10302, USA",40.63513,-74.1422,,,
CURTIS HIGH SCHOOL,437,435,429,1301,"105 Hamilton Ave, Staten Island, NY 10301, USA",40.64539,-74.0822,,,
TOTTENVILLE HIGH SCHOOL,462,486,470,1418,"100 Luten Ave, Staten Island, NY 10312, USA",40.52794,-74.1921,,,
SUSAN E. WAGNER HIGH SCHOOL,455,474,459,1388,"1200 Manor Rd, Staten Island, NY 10314, USA",40.59749,-74.1249,,,
CONCORD HIGH SCHOOL,466,455,414,1335,"481 Burrage Rd NE, Concord, NC 28025, USA",35.43325,-80.5818,,,
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,416,422,397,1235,"101 Belmont Pl, Staten Island, NY 10301, USA",40.64271,-74.0794,,,
STATEN ISLAND TECHNICAL HIGH SCHOOL,635,682,636,1953,"485 Clawson St, Staten Island, NY 10306, USA",40.56792,-74.117,,,
YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,405,375,370,1150,"105 Johnson St, Brooklyn, NY 11201",40.7003,-73.986,,,
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,380,366,352,1098,"400 Irving Ave #4, Brooklyn, NY 11237, USA",40.69701,-73.9117,,,
EBC HIGH SCHOOL FOR PUBLIC SERVICEâ€“BUSHWICK,384,409,361,1154,"1155 Dekalb Ave, Brooklyn, NY 11221, USA",40.69472,-73.9293,,,
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,348,353,334,1035,"400 Irving Ave, Brooklyn, NY 11237, USA",40.6969,-73.9112,,,
ACADEMY OF URBAN PLANNING,342,364,354,1060,"400 Irving Ave, Brooklyn, NY 11237, USA",40.697,-73.9116,,,
ALL CITY LEADERSHIP SECONDARY SCHOOL,428,465,422,1315,"321 Palmetto St, Brooklyn, NY 11237, USA",40.69759,-73.9131,,,
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,347,358,350,1055,"976 Seneca Avenue, Queens, NY 11385, USA",40.69534,-73.9274,,,
BUSHWICK COMMUNITY HIGH SCHOOL,359,317,358,1034,"231 Palmetto St, Brooklyn, NY 11221, USA",40.69539,-73.9153,,,
P.S. Q811,429,444,433,1306,"58-20 Utopia Pkwy, Queens, NY 11365, USA",40.74047,-73.7936,,,
GED PLUS s CITYWIDE,496,400,426,1322,"832 Marcy Ave, Brooklyn, NY 11216",40.70162,-73.955,,,
PHOENIX ACADEMY,367,370,360,1097,"199-12 Linden Blvd, St. Albans, NY 11412",40.71158,-73.7603,,,
