School Name,Reading,Math,Writing,Total,Address,lat,lng,Stop Name,Stop Lat,Stop Lng
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,407,440,393,1240,"411 Pearl St, New York, NY 10038, USA",40.71131,-74.0019,,,
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,414,425,400,1239,"120 W 46th St, New York, NY 10036, USA",40.75779,-73.9834,,,
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,429,404,420,1253,"123 W 43rd St, New York, NY 10036, USA",40.75612,-73.9845,,,
MANHATTAN BRIDGES HIGH SCHOOL,336,378,344,1058,"525 W 50th St, New York, NY 10019, USA",40.76524,-73.9927,,,
NEW DESIGN HIGH SCHOOL,391,395,382,1168,"350 Grand St, New York, NY 10002, USA",40.71735,-73.9893,,,
INDEPENDENCE HIGH SCHOOL,389,371,335,1095,"617 N Jackson Ave, San Jose, CA 95133, USA",37.36845,-121.857,,,
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,412,581,431,1424,"350 Grand St, New York, NY 10002, USA",40.71732,-73.9893,,,
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,368,436,352,1156,"250 W 18th St, New York, NY 10011, USA",40.74183,-74.0002,,,
THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,405,423,384,1212,"Hay Rd, Brooklyn, NY 11231, USA",40.69039,-74.0205,,,
HIGH SCHOOL M560 s CITY AS SCHOOL,498,440,477,1415,"16 Clarkson St, New York, NY 10014",40.72935,-74.0056,,,
URBAN ACADEMY LABORATORY HIGH SCHOOL,527,508,512,1547,"317 E 67th St, New York, NY 10065, USA",40.76537,-73.9597,,,
SATELLITE ACADEMY HIGH SCHOOL,350,337,345,1032,"120 W 30th St, New York, NY 10001, USA",40.74743,-73.9906,,,
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,345,517,343,1205,"240 2nd Ave, New York, NY 10003, USA",40.73267,-73.9843,,,
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,408,384,403,1195,"7 Beaver St, New York, NY 10004, USA",40.7051,-74.0128,,,
HARVEY MILK HIGH SCHOOL,458,416,429,1303,"2 Astor Pl 3rd Floor, New York, NY 10003, USA",40.72988,-73.9926,,,
THE HIGH SCHOOL OF FASHION INDUSTRIES,423,423,411,1257,"225 W 24th St, New York, NY 10011, USA",40.74546,-73.9965,,,
HUMANITIES PREPARATORY ACADEMY,426,403,426,1255,"351 W 18th St, New York, NY 10011, USA",40.74316,-74.0025,,,
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,399,418,390,1207,"131 6th Ave, New York, NY 10013, USA",40.72468,-74.0051,,,
NORMAN THOMAS HIGH SCHOOL,370,379,359,1108,"111 E 33rd St, New York, NY 10016, USA",40.74632,-73.9811,,,
HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,395,382,376,1153,"439 W 49th St, New York, NY 10019, USA",40.76399,-73.9904,,,
ART AND DESIGN HIGH SCHOOL,444,441,430,1315,"245 E 56th St, New York, NY 10022, USA",40.75905,-73.9665,,,
LIFE SCIENCES SECONDARY SCHOOL,409,424,403,1236,"320 E 96th St, New York, NY 10128",40.78364,-73.9456,,,
MANHATTAN THEATRE LAB HIGH SCHOOL,406,379,408,1193,"122 Amsterdam Ave, New York, NY 10023, USA",40.77478,-73.9847,,,
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",374,384,374,1132,"122 Amsterdam Ave, New York, NY 10023, USA",40.77475,-73.9851,,,
URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,384,390,370,1144,"122 Amsterdam Ave, New York, NY 10023, USA",40.77485,-73.9857,,,
INNOVATION DIPLOMA PLUS,416,403,381,1200,"145 W 84th St, New York, NY 10024, USA",40.78567,-73.974,,,
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,371,368,370,1109,"215 W 114th St, New York, NY 10026",40.80284,-73.9543,,,
LOUIS D. BRANDEIS HIGH SCHOOL,370,390,358,1118,"13011 Kyle Seale Pkwy, San Antonio, TX 78249, USA",29.56546,-98.6463,,,
BEACON HIGH SCHOOL,577,575,592,1744,"522 W 44th St, New York, NY 10036, USA",40.7613,-73.996,,,
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,566,564,577,1707,"100 Amsterdam Ave, New York, NY 10023, USA",40.77419,-73.9851,,,
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",396,398,402,1196,"122 Amsterdam Ave, New York, NY 10023, USA",40.77478,-73.9847,,,
HIGH SCHOOL OF ARTS AND TECHNOLOGY,433,433,411,1277,"122 Amsterdam Ave, New York, NY 10023, USA",40.77538,-73.9861,,,
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,401,369,351,1121,"140 W 102nd St, New York, NY 10025, USA",40.79713,-73.9668,,,
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,473,506,467,1446,"122 Amsterdam Ave, New York, NY 10023, USA",40.77456,-73.9853,,,
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,356,379,361,1096,"215 W 114th St, New York, NY 10026, USA",40.80257,-73.9541,,,
COALITION SCHOOL FOR SOCIAL CHANGE,354,357,373,1084,"2351 1st Ave., New York, NY 10035, USA",40.79921,-73.9335,,,
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,461,514,455,1430,"260 Pleasant Ave, New York, NY 10029, USA",40.7943,-73.9334,,,
PARK EAST HIGH SCHOOL,373,379,376,1128,"230 E 105th St, New York, NY 10029, USA",40.7902,-73.9442,,,
CENTRAL PARK EAST HIGH SCHOOL,405,421,395,1221,"1573 Madison Ave, New York, NY 10029, USA",40.79369,-73.9492,,,
YOUNG WOMEN'S LEADERSHIP SCHOOL,432,446,448,1326,"140 West 102 Street, Manhattan, NY 10025",40.79758,-73.9667,,,
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,369,369,357,1095,"410 E 100th St, New York, NY 10029, USA",40.78517,-73.9422,,,
"HERITAGE SCHOOL, THE",358,351,345,1054,"1680 Lexington Ave, New York, NY 10029, USA",40.79196,-73.9469,,,
HARLEM RENAISSANCE HIGH SCHOOL,357,318,333,1008,"22 E 128th St, New York, NY 10035, USA",40.80776,-73.94,,,
MOTT HALL HIGH SCHOOL,413,399,398,1210,"6 Edgecombe Ave 4th floor, New York, NY 10030, USA",40.81735,-73.9475,,,
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,354,366,342,1062,"3441 Steenwick Ave, Bronx, NY 10475, USA",40.8832,-73.8307,,,
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,360,353,364,1077,"509 W 129th St, New York, NY 10027, USA",40.81571,-73.9557,,,
CHOIR ACADEMY OF HARLEM,354,360,385,1099,"2005 Madison Ave, New York, NY 10035, USA",40.80706,-73.9388,,,
FREDERICK DOUGLASS ACADEMY,458,474,442,1374,"2581 Adam Clayton Powell Jr Blvd, New York, NY 10039, USA",40.82429,-73.9367,,,
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,396,402,404,1202,"200-214 W 135th St, New York, NY 10030, USA",40.81525,-73.9443,,,
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",605,654,588,1847,"240 Convent Ave, New York, NY 10031, USA",40.82147,-73.949,,,
CITY COLLEGE ACADEMY OF THE ARTS,408,446,416,1270,"4600 Broadway, New York, NY 10040, USA",40.86085,-73.9301,,,
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,362,376,367,1105,"504 W 158th St, New York, NY 10032, USA",40.83361,-73.9422,,,
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,380,395,399,1174,"511 W 182nd St, New York, NY 10033, USA",40.84911,-73.9311,,,
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,365,384,378,1127,"549 Audubon Ave, New York, NY 10040",40.85592,-73.9263,,,
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,369,380,349,1098,"549 Audubon Ave, New York, NY 10040, USA",40.85612,-73.9263,,,
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,363,378,361,1102,"549 Audubon Ave, New York, NY 10040, USA",40.85589,-73.926,,,
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,400,422,402,1224,"549 Audubon Ave, New York, NY 10040, USA",40.85589,-73.926,,,
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,430,456,423,1309,"443 W 135th St, New York, NY 10031, USA",40.81836,-73.95,,,
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,339,349,326,1014,"501 W 165th St, New York, NY 10032, USA",40.83823,-73.9385,,,
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,364,378,348,1090,"Bronx, NY, USA",40.84478,-73.8648,,,
CROTONA ACADEMY HIGH SCHOOL,379,364,382,1125,"1211 Southern Blvd, Bronx, NY 10459, USA",40.82931,-73.8921,,,
INTERNATIONAL COMMUNITY HIGH SCHOOL,310,324,311,945,"345 Brook Ave, Bronx, NY 10454, USA",40.80992,-73.9184,,,
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,361,359,357,1077,"350 Gerard Ave, Bronx, NY 10451, USA",40.81567,-73.9301,,,
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,351,375,371,1097,"701 St Ann's Ave, Bronx, NY 10455, USA",40.81828,-73.9117,,,
UNIVERSITY HEIGHTS SECONDARY SCHOOL,403,394,404,1201,"701 St Ann's Ave, Bronx, NY 10455, USA",40.81821,-73.9113,,,
HOSTOSsLINCOLN ACADEMY OF SCIENCE,420,426,411,1257,"600 St Ann's Ave, Bronx, NY 10455, USA",40.81454,-73.9124,,,
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,399,396,391,1186,"470 Jackson Ave #116, Bronx, NY 10455, USA",40.81091,-73.9093,,,
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,362,378,363,1103,"730 Concourse Village W, Bronx, NY 10451, USA",40.82235,-73.9227,,,
NEW EXPLORERS HIGH SCHOOL,367,356,361,1084,"730 Concourse Village W, Bronx, NY 10451, USA",40.82257,-73.9235,,,
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,387,411,383,1181,"730 Concourse Village W, Bronx, NY 10451, USA",40.82257,-73.9235,,,
BRONX ACADEMY OF LETTERS,413,381,407,1201,"339 Morris Ave, Bronx, NY 10451, USA",40.81366,-73.926,,,
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,400,364,1158,"333 E 151st St, Bronx, NY 10451, USA",40.81891,-73.92,,,
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,398,416,370,1184,"455 Southern Blvd, Bronx, NY 10455",40.81044,-73.907,,,
HEALTH OPPORTUNITIES HIGH SCHOOL,363,368,364,1095,"350 Gerard Ave, Bronx, NY 10451, USA",40.81566,-73.9303,,,
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,384,385,389,1158,"3000 E Tremont Ave, Bronx, NY 10462",40.84038,-73.8397,,,
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,416,390,394,1200,"211 W 61st St, New York, NY 10023",40.77279,-73.988,,,
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,337,361,340,1038,"1980 Lafayette Ave # 4, Bronx, NY 10473",40.82117,-73.8568,,,
MILLENNIUM ART ACADEMY,387,402,375,1164,"1980 Lafayette Ave, Bronx, NY 10473, USA",40.82117,-73.8568,,,
BRONX COMMUNITY HIGH SCHOOL,367,369,376,1112,"Bronx, NY, USA",40.84478,-73.8648,,,
HERBERT H. LEHMAN HIGH SCHOOL,412,436,393,1241,"3000 E Tremont Ave, Bronx, NY 10461, USA",40.84001,-73.8393,,,
BRONX GUILD,369,371,365,1105,"Bronx, NY, USA",40.84478,-73.8648,,,
"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",373,370,356,1099,"1440 Story Ave, Bronx, NY 10473, USA",40.82083,-73.8807,,,
BANANA KELLY HIGH SCHOOL,373,381,377,1131,"965 Longwood Ave, Bronx, NY 10459, USA",40.81764,-73.898,,,
SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,366,400,368,1134,"1980 Lafayette Ave, Bronx, NY 10473, USA",40.82165,-73.8554,,,
HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,404,368,399,1171,"Bronx, NY, USA",40.84478,-73.8648,,,
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,377,359,376,1112,"900 Tinton Ave, Bronx, NY 10456, USA",40.82178,-73.903,,,
