Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
6.44,2.124894299,7.035861186,7.665829304,1.552650642,3.53,3.55,3.83,3.61,4.36,2.39,3.38
-0.32,0.7879682394,-0.6572958446,-0.03541096853,0.08549891198,3.21,3.25,3.38,3.79,3.69,3.74,4.16
-0.32,1.232384401,-0.6685599181,0.8046835199,0.5732042234,3.65,3.88,4.35,3.84,3.82,3.41,3.79
-0.32,1.045583354,-0.6446890339,0.2312736952,0.3682074869,4,4.08,4.87,3.92,4.22,3.57,4.17
-0.32,1.223379546,-0.6685599181,0.6805606009,0.5633222344,3.76,3.15,3.03,3.26,2.9,3.36,3.55
-0.32,0.6557703411,-0.2414575831,-0.2827837988,-0.05957595868,4.03,3.12,3.15,3.2,3.4,3.67,3.3
0.52,-0.803,-0.6685599181,-0.381,-1.66044043,3.28,2.39,3.94,2.84,4.21,3.06,3.9
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,4.55,4.72,3.2,3.91,2.26,3.84,3.11
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,3.14,2.34,3.41,3,3.56,4.07,2.72
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,3.51,3.76,4.18,3.35,3.76,4.1,3.72
-0.32,0.6495793677,-0.6627227409,-0.2033913482,-0.0663699749,3.41,3.94,3.31,3.09,3.1,1.79,2.28
-0.32,0.6495793677,-0.6627227409,-0.2033913482,-0.0663699749,3.14,3.25,4.31,3.62,3.97,3.04,4.02
-0.32,0.5267395078,-0.4641095252,-0.291084006,-0.2011752707,4,2.23,3.3,2.88,3.2,2.52,2.94
-0.32,0.6495793677,-0.6627227409,-0.2033913482,-0.0663699749,3.96,3.56,4.09,3.37,3.51,3.26,3.33
0.52,1.18767783,-0.1020180513,0.7234743633,0.524142929,4.49,3.52,2.69,3.7,2.91,2.43,2.29
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,3.36,3.62,3.34,2.76,2.59,3.18,1.66
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,3.22,1.88,1.92,2.85,1.95,3.55,2.84
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,4.66,4.32,3,4.21,3.76,3.08,3.39
-0.32,0.676232977,0.7707425013,-0.2810423263,-0.03712012319,4.21,3.86,4.23,3.51,3.97,2.89,3.44
-0.32,1.067649203,-0.5241224199,0.214017372,0.3924226993,4.87,4.97,4.55,4.43,4.45,4.2,3.97
