School,Station,PC1,PC2,Cluster
The Clinton School - [HS] 02M260,14 St-Union Sq,12.08465737,9.53314,1
Leadership and Public Service High School - [HS] 02M425,Rector St,1.367287123,7.829406,4
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,-0.182049485,9.801477,3
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,-0.840230533,8.597907,2
A. Philip Randolph Campus High School - [HS] 06M540,135 St and St. Nicholas Av,-0.905140306,7.497668,2
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,0.30752969,9.750214,3
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.632488433,11.665816,3
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.849150604,9.234359,2
New Design High School - [HS] 02M543,Delancey St-Essex St,-1.031343394,9.331058,2
Academy for Software Engineering - [HS] 02M546,14 St-Union Sq,12.05595057,9.645531,1
Millennium High School - [HS] 02M418,Broad St,0.14457295,9.080004,2
High School of Economics and Finance - [HS] 02M489,Rector St,1.424645863,8.668137,4
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-1.062459068,9.911255,3
Repertory Company High School for Theatre Arts - [HS] 02M531,Times Sq-42 St,7.613476041,9.277914,1
Quest to Learn - [HS] 02M422,14 St and 8 Av,1.465102899,8.300343,4
Central Park East High School - [HS] 04M555,103 St and Lexington,-1.111800257,10.978194,3
High School for Media and Communications - [HS] 06M463,191 St,-1.036346466,8.851961,2
Community Health Academy of the Heights - [HS] 06M346,157 St,-0.897806754,10.819967,3
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.554554139,8.038618,2
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-0.158914115,9.622445,3
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,50 St and 8th Av,-0.184446688,10.175495,3
High School of Hospitality Management - [HS] 02M296,50 St and 8th Av,-0.045356929,7.276683,2
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-1.066245875,8.612202,2
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,1.13449183,9.864484,4
High School for Health Careers and Sciences - [HS] 06M468,191 St,-1.048832388,9.287767,2
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,-0.74120756,9.092005,2
Washington Heights Expeditionary Learning School - [HS] 06M348,181 St and St Nicholas Av,-0.967942295,10.130783,3
Landmark High School - [HS] 02M419,14 St and 8 Av,1.395791644,9.279803,4
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-1.24028366,8.19879,2
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.829989983,7.598999,2
International High School at Union Square - [HS] 02M438,14 St-Union Sq,12.00588745,9.876171,1
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,1.360453531,10.95445,3
Unity Center for Urban Technologies - [HS] 02M500,33 St,-0.440515824,10.432134,3
School of the Future High School - [HS] 02M413,23 St and Park Av S,0.375262049,9.645134,3
The College Academy - [HS] 06M462,191 St,-1.053440805,10.077486,3
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.273944141,10.036279,3
High School for Law and Public Service - [HS] 06M46,191 St,-1.002706697,7.849149,2
Manhattan Business Academy - [HS] 02M392,14 St and 8 Av,1.368149089,11.422317,3
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,-0.334072594,8.813364,2
"Heritage School, The - [HS] 04M680",103 St and Lexington,-1.064041184,8.149781,2
Essex Street Academy - [HS] 02M294,Delancey St-Essex St,-1.120511926,10.983494,3
Vanguard High School - [HS] 02M449,72 St and 2nd Av,-0.773534913,9.137505,2
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.524172102,9.756209,3
Park East High School - [HS] 04M495,103 St and Lexington,-1.113640289,10.4836,3
The High School For Language And Diplomacy - [HS] 02M399,14 St-Union Sq,12.01831551,8.618976,1
Esperanza Preparatory Academy - [HS] 04M372,110 St,-1.058796291,8.541499,2
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.858538868,10.863959,3
Business Of Sports School - [HS] 02M393,50 St and 8th Av,-0.122184475,8.972695,2
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.853467118,8.118428,2
Manhattan Academy For Arts & Language - [HS] 02M427,33 St,-0.410627668,10.567865,3
Union Square Academy for Health Sciences - [HS] 02M533,14 St-Union Sq,12.09448672,9.752266,1
The Urban Assembly School for Emergency Management - [HS] 02M135,Brooklyn Bridge-City Hall,2.58124287,8.683731,4
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,0.459102008,8.583875,2
Jacqueline Kennedy Onassis High School - [HS] 02M529,47-50 Sts-Rockefeller Ctr,0.04867464,8.578335,2
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,0.360007963,9.887028,3
