School,Station,Node Degree,Closeness,Betweenness,Eigenvector,SA,RI,CT,SE,ESL,SF-CT,T
Vanguard High School - [HS] 02M449,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,-1.234599939,0.03543033443,0.1516512788,-0.2060380967,-0.157413862,0.8506036189,0.2742668427
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.32,1.050819097,-0.6322314163,-0.07621241909,-0.6486758432,1.324491438,0.9650371624,0.968889893,1.800799454,0.8059481694,1.012605862
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,1.37,1.241421365,0.4911174724,0.4823865943,2.101912273,0.65960729,-0.7105377577,1.03700166,-0.004162385036,-0.4592895684,0.2407059782
High School of Economics and Finance - [HS] 02M489,Rector St,1.37,1.160134514,1.40762888,0.007517424762,0.002350930014,0.07613752719,-0.2713093806,0.3048001597,0.3534243944,-2.052000603,-1.135289466
Unity Center for Urban Technologies - [HS] 02M500,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,0.4092426632,0.03543033443,0.8511631387,0.4921075203,0.8812905927,0.9994551175,1.516018829
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,0.9463397511,-0.1545365651,-0.6129314517,-0.4955131087,-0.2425535714,0.225427325,0.4588515974
Jacqueline Kennedy Onassis High School - [HS] 02M529,47-50 Sts-Rockefeller Ctr,0.52,1.213287254,-0.5052681512,0.4437380575,-0.9253622217,-1.674271761,-0.1248999216,-0.5125410506,-0.07227415256,0.6124412212,0.4420711652
Repertory Company High School for Theatre Arts - [HS] 02M531,Times Sq-42 St,5.59,1.793475616,4.130699989,3.975465649,0.2953129779,-0.1681056293,-0.303844816,-0.9893234232,-0.3106653389,0.7166372702,0.08968208791
Union Square Academy for Health Sciences - [HS] 02M533,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,-0.0627517473,1.025972025,0.6396828089,0.7304987067,0.3704523363,-2.424129349,-1.135289466
Manhattan Bridges High School - [HS] 02M542,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,0.8486857351,1.758701494,1.25785608,0.968889893,0.4726199876,0.7761778696,0.8112406747
New Design High School - [HS] 02M543,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,-0.4533678112,0.3068116195,-0.1086322039,0.5091354622,0.4896479295,-0.7569925655,0.4252907329
Academy for Software Engineering - [HS] 02M546,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,-0.2743354486,0.008292205931,0.2980607379,-0.03575867795,1.22184943,-1.501250058,-0.2627069893
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.32,0.7879682394,-0.6572958446,-0.03541096853,-0.7951568671,-0.3987797216,-0.4339865573,0.2707442759,0.08097732436,0.5082451722,1.046166726
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.32,1.232384401,-0.6685599181,0.8046835199,-0.07902741663,0.4560713262,1.143982057,0.3558839853,0.3023405688,0.01703522699,0.4252907329
Humanities Preparatory Academy - [HS] 02M605,18 St,-0.32,1.045583354,-0.6446890339,0.2312736952,0.4906210099,0.7274526112,1.989903376,0.4921075203,0.983458244,0.2551976247,1.062947158
Chelsea Career and Technical Education High School - [HS] 02M615,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,0.100004946,-0.5344703641,-1.003356676,-0.6317366437,-1.264230084,-0.05739052229,0.02256035891
Art and Design High School - [HS] 02M630,Lexington Av/53 St,-0.32,0.6557703411,-0.2414575831,-0.2827837988,0.5394480179,-0.5751775569,-0.8081440638,-0.733904295,-0.4128329902,0.4040491232,-0.3969504473
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,0.52,-0.803,-0.6685599181,-0.381,-0.6812271818,-1.565719247,0.4770056322,-1.346910203,0.9664303021,-0.503945018,0.6098754877
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.385782823,1.595872723,-0.7268054754,0.4750795785,-2.354018364,0.6570966708,-0.7157786601
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,-0.9090865524,-1.633564568,-0.3851834043,-1.074463133,-0.1403859201,0.9994551175,-1.370215518
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-0.3068867872,0.2932425552,0.8674308563,-0.4784851668,0.2001729175,1.044110567,0.3078277072
The Urban Assembly School for Green Careers - [HS] 03M402,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,-0.4696434805,0.5374857117,-0.547860581,-0.9212116557,-0.9236712466,-2.39435905,-2.108554537
The Global Learning Collaborative - [HS] 03M403,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,-0.9090865524,-0.3987797216,1.078911186,-0.01873073607,0.557759697,-0.5337153177,0.8112406747
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,0.4906210099,-1.782824275,-0.5641282987,-1.278798435,-0.7533918278,-1.30774311,-1.001046008
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,0.4255183326,0.02186127018,0.7210213973,-0.4444292831,-0.2255256295,-0.2062420208,-0.3466091506
Beacon High School - [HS] 03M479,42 St-Port Authority Bus Terminal,0.52,1.18767783,-0.1020180513,0.7234743633,1.288128807,-0.03241498682,-1.556459077,0.117492799,-1.247202142,-1.441709459,-2.091774105
"High School for Law, Advocacy and Community Justice - [HS] 03M492",66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,-0.5510218272,0.1032756557,-0.499057428,-1.483133738,-1.792096282,-0.3253232197,-3.148941336
High School of Arts and Technology - [HS] 03M494,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,-0.7788811978,-2.257741524,-2.809073337,-1.329882261,-2.881884563,0.225427325,-1.168850331
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.564815186,1.053110153,-1.052159829,0.9859178349,0.2001729175,-0.4741747183,-0.2459265571
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-0.32,0.676232977,0.7707425013,-0.2810423263,0.8324100658,0.4289331977,0.9487694447,-0.2060380967,0.557759697,-0.7569925655,-0.1620243958
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.906604242,1.93509933,1.46933641,1.360532556,1.375100907,1.192962066,0.7273385134
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,-0.2906111179,-0.9144041632,-0.7593409108,0.543191346,-0.4809447577,-0.6676816664,-1.621922002
Esperanza Preparatory Academy - [HS] 04M372,110 St,-0.32,0.2264357354,-0.6581910028,-0.3699147864,-0.1115787553,-0.2630890791,-0.1899707923,-0.2741498643,-0.1744418038,-1.158891612,-0.8668025503
Manhattan Center for Science and Mathematics - [HS] 04M435,116 St and Lexington Av,-0.32,0.5638137359,-0.6007330387,-0.3553313364,1.076545106,1.894392137,2.087509682,1.462700207,2.073246524,-0.3253232197,1.650262287
Park East High School - [HS] 04M495,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.239301799,0.6460382257,1.046375751,0.8156384161,0.4896479295,0.7315224201,0.6937776489
