School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust,Cluster
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,0.52,-0.803,-0.6685599181,-0.381,1.646353658,3.28,2.39,3.94,2.84,4.21,3.06,3.9,2
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.626112938,3.14,2.34,3.41,3.0,3.56,4.07,2.72,2
The Urban Assembly School for Green Careers - [HS] 03M402,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.526306912,3.41,3.94,3.31,3.09,3.1,1.79,2.28,2
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,1.526306912,4.0,2.23,3.3,2.88,3.2,2.52,2.94,2
Beacon High School - [HS] 03M479,42 St-Port Authority Bus Terminal,0.52,1.18767783,-0.1020180513,0.7234743633,1.646353658,4.49,3.52,2.69,3.7,2.91,2.43,2.29,2
"High School for Law, Advocacy and Community Justice - [HS] 03M492",66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,3.36,3.62,3.34,2.76,2.59,3.18,1.66,2
High School of Arts and Technology - [HS] 03M494,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.351321068,3.22,1.88,1.92,2.85,1.95,3.55,2.84,2
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.32,0.5267395078,-0.4641095252,-0.291084006,1.350887339,3.52,2.87,3.18,3.95,3.36,2.95,2.57,2
Esperanza Preparatory Academy - [HS] 04M372,110 St,-0.32,0.2264357354,-0.6581910028,-0.3699147864,1.338694715,3.63,3.35,3.53,3.47,3.54,2.62,3.02,2
"Heritage School, The - [HS] 04M680",103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.675268973,3.11,2.25,3.55,3.54,3.51,3.8,2.99,2
Eagle Academy for Young Men of Harlem - [HS] 05M148,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,1.100143372,3.47,3.27,3.49,3.74,3.94,2.13,2.97,2
The Urban Assembly School for Global Commerce - [HS] 05M157,125 St and Lexington Av,1.37,0.9623006414,3.609438206,-0.2815290538,1.226021373,2.84,2.61,3.15,3.75,3.73,3.77,3.64,2
Mott Hall High School - [HS] 05M304,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,1.033108035,3.27,2.7,3.56,3.13,3.57,3.04,3.59,2
Urban Assembly School for the Performing Arts - [HS] 05M369,125 St and Broadway,-0.32,-0.201,0.5100276885,-0.38,1.265057048,3.03,3.09,2.6,2.71,2.6,2.51,2.13,2
Frederick Douglass Academy - [HS] 05M499,Harlem-148 St,-1.17,-0.26,-0.6685599181,-0.381,1.128191227,2.91,2.22,2.82,2.58,2.52,1.58,3.05,2
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,1.155130661,3.11,3.14,4.07,3.96,3.62,2.77,3.24,2
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-0.32,-0.67,-0.5750718382,-0.381,1.100143372,3.17,2.63,2.6,3.52,3.29,4.25,3.72,2
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-0.32,-1.35,-0.1147367567,-0.381,1.265057048,3.93,3.22,3.19,3.5,2.91,3.67,3.73,2
High School for Media and Communications - [HS] 06M463,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.24,2.9,3.66,3.32,3.55,4.1,3.97,2
High School for Law and Public Service - [HS] 06M46,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,2.95,2.82,2.83,2.88,3.03,4.13,3.45,2
A. Philip Randolph Campus High School - [HS] 06M540,135 St and St. Nicholas Av,-0.32,0.5937575991,-0.6685599181,-0.263886776,-0.1276291626,2.82,2.66,3.39,3.03,3.34,2.17,2.77,2
Democracy Preparatory Harlem Charter School - [HS] 84M481,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,-0.4473130294,3.14,3.02,3.48,3.18,3.41,3.63,2.59,2
